index,title,url,press,date,keyword,content,Scraped_date
0,"하이투자證 ""LG엔솔, 내실 다지는 중…목표주가 9% 상향""",https://www.news1.kr/articles/5237228,뉴스1,13시간 전,LG에너지솔루션,"하이투자증권이 LG에너지솔루션(373220)의 목표주가는 55만원에서 60만원으로 9% 올리고 투자의견을 '매수'로 유지했다. 최근 전기차 수요 둔화로 밸류에이션이 조정됐지만, 내실을 다지는 중이라는 평가다. 정원석 하이투자증권 연구원은 ""최근 전기차 수요에 대한 우려가 부각되고 있으나 이는 약간의 속도...",2023-11-21
1,"중저가 미드니켈 배터리…LG엔솔, 양산 1년 앞당겨",https://www.hankyung.com/article/2023112006101,한국경제,1일 전,LG에너지솔루션,LG에너지솔루션이 전기차용 중저가 고전압 미드니켈 NCM(니켈·코발트·망간) 배터리를 이르면 내년 양산하겠다는 계획을 세웠다. 당초 목표한 2025년보다 양산 시점을 1년가량 앞당겼다. 글로벌 완성차업체의 전기차 가격 인하 바람이 거세지자 LFP(리튬·인산철) 배터리에 이어 중저가 배터리를 하루라도...,2023-11-21
2,"""LG에너지솔루션, 섹터 반등 포인트를 주도할 것""",http://www.insightkorea.co.kr/news/articleView.html?idxno=123263,인사이트코리아,5시간 전,LG에너지솔루션,"유안타증권은 21일 LG에너지솔루션에 대해 불확실성에도 불구하고 셀 Top Pick로 꼽는다고 전했다. 이안나 유안타증권 연구원은 ""LG에너지솔루션은 2024년 폴란드, 미국 얼티엄셀즈 2공장 증설이 예정되어 있었으나 폴란드 공장은 지연, 미국 공장만 2024년 초 양산 예정""이라며 ""2024년 얼티엄...",2023-11-21
3,권영수 LG엔솔 부회장 물러난다…후임에 김동명 사장,https://www.etnews.com/20231121000274,전자신문언론사 선정,5시간 전,LG에너지솔루션,권영수 LG에너지솔루션 부회장이 대표이사직에서 물러나는 것으로 알려졌다. 자동차전지사업부장을 맡고 있는 김동명 LG에너지솔루션 사장이 후임을 맡을 전망이다. 21일 업계에 따르면 LG에너지솔루션은 오는 22일 이사회를 열고 이같은 내용의 2024년 정기 인사를 단행할 예정이다. 권 부회장은 지난...,2023-11-21
4,"코스피, 기관 순매수도 상위 10종목(20일)....삼성전자-LG에너지솔루션-삼성SDI",http://www.betanews.net:8080/article/1452540.html,베타뉴스,14시간 전,LG에너지솔루션,"© 연합뉴스. 20일 코스피 시장에서 기관은 삼성전자, LG에너지솔루션, 삼성SDI를 집중 매수했다.",2023-11-21
5,LG에너지솔루션 주가 '방긋'…내실 다지기에 목표주가 상향,https://www.cwn.kr/news/articleView.html?idxno=19500,CWN,9시간 전,LG에너지솔루션,LG에너지솔루션 주가가 상승세를 타고 있다. 21일 한국거래소에 따르면 이날 오후 12시 58분 현재 0.90% 오른 44만8000원에 거래하고 있다. 이 회사가 최근 전기차 수요 둔화로 밸류에이션이 조정됐지만 내실을 다지는 중이라며 목표주가는 55만원에서 60만원으로 9% 올리고 투자의견을 '매수'로...,2023-11-21
6,"""한때 잘 나갔는데…"" LG엔솔, 美 공장 170명 감축",http://www.newsis.com/view/?id=NISX20231114_0002520982&cID=13001&pID=13000,뉴시스언론사 선정,7일 전,LG에너지솔루션,"전기차 수요 둔화 우려가 커지는 가운데 LG에너지솔루션이 미국 미시간주 홀랜드 공장 인력을 감축한다. 14일 미시간주 현지 언론 등 외신에 따르면 LG에너지솔루션은 홀랜드 공장 생산직원 170명을 정리해고하기로 했다. 회사는 이같은 내용의 공지를 임직원에게 이메일로 공지했으며, 정리해고는 수개월에...",2023-11-21
7,"코스피, 외인과 기관 매수에 상승 마감...LG화학, 네이버, LG에너지솔루션 상승 VS 기아 하락",http://www.econonews.co.kr/news/articleView.html?idxno=313987,이코노뉴스,51분 전,LG에너지솔루션,"시가총액 상위 10개 종목은 기아(-0.95%), 보합 마감한 삼성전자우를 제외하고 상승 마감했다. LG화학(1.52%), NAVER(0.99%), LG에너지솔루션(0.68%), SK하이닉스(0.46%), POSCO홀딩스(0.42%), 현대차(0.33%), 삼성바이오로직스(0.28%), 삼성전자(0.14%)는 상승 마감했다.",2023-11-21
8,"배터리 업체 가동률 '뒷걸음질'…LG엔솔·SK온, 3분기 하락",https://www.hankyung.com/article/2023111594541,한국경제언론사 선정,6일 전,LG에너지솔루션,국내 배터리업계 1·2위인 LG에너지솔루션과 SK온의 지난 3분기 공장 가동률이 일제히 뚝 떨어졌다. LG에너지솔루션의 글로벌 사업장 평균 가동률은 올 들어 3분기까지 내리 하락했고 SK온 가동률도 반년 만에 뒷걸음질 쳤다. 공격적인 투자로 생산 역량 확장에 힘써온 배터리 업체들이 전기차 수요 둔화로...,2023-11-21
9,"LG엔솔·SK온, 美 공장 인력 감축",https://zdnet.co.kr/view/?no=20231115155432,지디넷코리아언론사 선정,6일 전,LG에너지솔루션,LG에너지솔루션 오창에너지플랜트 전경 LG에너지솔루션 역시 전기차 수요 둔화에서 자유롭지 못한 모습이다. 15일 업계에 따르면 LG에너지솔루션 역시 미주 미시간 법인 현장직 인력 170명을 정리하기로 했다. 해당 공장의 총 종업원 수는 1천500명 수준이다. 유럽향 전기차 수요 둔화로 포드와 튀르키예 현지...,2023-11-21
10,‘LG 29년만에 우승’ 축포 쐈지만…증권사들 목표주가 ‘시큰둥’ 왜?,https://www.mk.co.kr/article/10878372,매일경제언론사 선정,2일 전,LG에너지솔루션,"19일 증권정보업체 Fn가이드에 따르면 지난달 18일부터 지난17일까지 한 달 동안에만 한국투자증권, 삼성증권, KB증권 등 17개 증권사가 LG에너지솔루션에 대한 목표주가를 하향 조정했다. 증권사들이 LG에너지솔루션에 대한 부정적인 평가를 연달아 내놓고 있는 건 최근 고객사들의 수요 전망이 부정적이기...",2023-11-21
11,[신사업 승부수] LG엔솔 'K-배터리' 선봉…R&D 늘려 격차 벌린다,https://www.asiatoday.co.kr/view.php?key=20231119010012041,아시아투데이,1일 전,LG에너지솔루션,"3Q, 연구개발에 2599억 투자 전고체·LFP 기술 확보 심혈 독립기업 출범… 먹거리 발굴 전기 이륜차 등 '신시장 선점' 글로벌 배터리 시장에서 존재감을 키워가며 'K-배터리' 선두주자로 평가 받는 LG에너지솔루션이 연구개발(R&D)에 적극적인 행보를 보이며 배터리 밸류체인을 강화에 힘쓰고 있다. 특히 3분기...",2023-11-21
12,전기차 속도조절에… LG엔솔-포드 합작법인 철회,https://www.donga.com/news/Economy/article/all/20231112/122143838/1,동아일보언론사 선정,1주 전,LG에너지솔루션,11일(현지 시간) 튀르키예 코치그룹이 LG에너지솔루션-포드-코치 3사가 올해 2월 체결한 배터리 합작법인 설립 업무협약(MOU)을 철회한다고 발표했다. 최근 글로벌 전기차 시장 성장세가 둔화하면서 그 여파가 국내 배터리 업계로도 이어지고 있다. 당초 3사는 2026년 양산을 목표로 튀르키예 바슈켄트...,2023-11-21
13,실리콘밸리서 1조 펀드 굴리는 LG...구광모 회장이 당부한 것은,https://www.mk.co.kr/article/10878599,매일경제언론사 선정,2일 전,LG에너지솔루션,"LG테크놀로지벤처스는 그동안 LG전자, LG디스플레이, LG이노텍, LG화학, LG에너지솔루션, LG유플러스, LG CNS 등 LG 주요 회사 7곳이 출자해 조성한 약 6000억 원 규모의 펀드를 운용해 왔으며 약 70%를 소진했다. 이에 올해 , 화학, 유플러스, CNS 등 4개 계열사가 후속 펀드 조성을 위한...",2023-11-21
14,전기차 수요 둔화에…결국 LG엔솔·포드 합작공장→직접공급 선회,https://www.hankyung.com/article/202311119018i,한국경제언론사 선정,1주 전,LG에너지솔루션,"LG에너지솔루션과 포드, 튀르키예 코치그룹이 올해 말 착공을 목표로 준비하던 튀르키예 배터리 합작공장 프로젝트를 철회했다. 급성장하던 전기차 시장이 숨 고르기 국면에 접어들어서다. LG에너지솔루션과 포드, 튀르키예 코치그룹은 11일 ""올해 초 합작공장을 짓기 위해 체결한 구속력 없는 3자 업무협약...",2023-11-21
