index,title,url,press,date,keyword,content,Scraped_date
0,"중저가 미드니켈 배터리…LG엔솔, 양산 1년 앞당겨",https://www.hankyung.com/article/2023112006101,한국경제,1일 전,LG에너지솔루션 배터리,20일 업계에 따르면 LG에너지솔루션은 최근 고전압 미드니켈 NCM 배터리를 이르면 내년 양산한다는 계획을 세운 것으로 알려졌다. 이 회사가 지난달 3분기 실적발표회에서 공개한 목표 시점인 2025년보다 크게 앞당긴 것이다. 미드니켈 NCM 는 니켈 함량을 40~60% 수준으로 낮춘 제품이다....,2023-11-21
4,"LG엔솔 캐나다 배터리공장에 정치적 논란 이어져, ""한국인에 일자리 뺏긴다""",https://www.businesspost.co.kr/BP?command=article_view&num=333742,비즈니스포스트,7시간 전,LG에너지솔루션 배터리,이 자리에서 2024년부터 LG에너지솔루션과 스텔란티스 배터리공장에 한국인 노동자 1600여 명이 투입될 것이라는 발언이 나왔기 때문이다. 캐나다 연방정부와 온타리오 주정부는 배터리공장에 대규모 재정 지원을 통해 일자리 창출과 경기 부양 효과를 기대했다. 그러나 한국인 노동자가 건설 작업에 대거...,2023-11-21
10,LG엔솔 키운 권영수 부회장 물러난다…김동명 사장 후임 유력,https://view.asiae.co.kr/article/2023112119054745816,아시아경제언론사 선정,4시간 전,LG에너지솔루션 배터리,"2021년 LG에너지솔루션으로 옮겨 배터리 리콜사태 구원투수 역할을 해냈고 기업공개(IPO), 배터리 수주 확보 등을 이끌었다. 2012~2015년에는 LG화학에서 전지사업본부장을 맡아 배터리 사업 성장시키는 데 결정적인 역할을 했다. 권 부회장 후임으로 거론되는 김 사장은 1969년생으로 카이스트(KAIST)에서...",2023-11-21
16,[신사업 승부수] LG엔솔 'K-배터리' 선봉…R&D 늘려 격차 벌린다,https://www.asiatoday.co.kr/view.php?key=20231119010012041,아시아투데이,1일 전,LG에너지솔루션 배터리,예지 보전·자동화·지능화를 통한 스마트팩토리 기반을 구축해 인력을 효율적으로 활용하고 수율·생산성을 개선하는 동시에 품질 안정화를 추진하겠다는 게 목표다.◇폐배터리부터 교환형까지…사업 포트폴리오 넓힌다LG에너지솔루션은 비즈니스 생태계 확장을 위해 사내 독립기업을...,2023-11-21
17,"LG에너지솔루션·포드, 튀르키예 배터리 합작공장 무산",https://view.asiae.co.kr/article/2023111109180702346,아시아경제언론사 선정,1주 전,LG에너지솔루션 배터리,"LG에너지솔루션·포드와 튀르키예 배터리 합작공장 설립을 추진하던 튀르키예 대기업 코치도 이날 공시를 통해 합작법인 설립을 위한 3자 MOU를 철회한다고 발표했다. 코치는 공시에서 ""포드·LG에너지솔루션·코치 그룹은 앙카라 지역 셀 생산 투자에 대한 검토를 거친 결과 현재 전기차 전환 속도가...",2023-11-21
18,"전기차 수요 둔화에…K-배터리, 美 배터리 공장 인력 감축",http://www.edaily.co.kr/news/newspath.asp?newsid=03919606635805720,이데일리언론사 선정,7일 전,LG에너지솔루션 배터리,LG에너지솔루션 미국 미시간 배터리 공장 전경 (사진=LG에너지솔루션) 14일 미국 현지 언론에 따르면 LG에너지솔루션(373220)은 내년 1월까지 미국 미시간주 홀랜드 공장의 생산직원 약 170명을 감원한다. 전체 1500명이 근무하는 공장이라는 점을 고려하면 10%가 넘는 인원을 줄인 셈이다. 측은...,2023-11-21
19,실리콘밸리서 1조 펀드 굴리는 LG...구광모 회장이 당부한 것은,https://www.mk.co.kr/article/10878599,매일경제언론사 선정,2일 전,LG에너지솔루션 배터리,"LG테크놀로지벤처스는 그동안 LG전자, LG디스플레이, LG이노텍, LG화학, LG에너지솔루션, LG유플러스, LG CNS 등 LG 주요 회사 7곳이 출자해 조성한 약... 특히 AI, 바이오, 배터리, 모빌리티 등 분야에 투자한 비중이 누적 투자 금액의 절반에 이른다. 테크놀로지벤처스는 최근 거대언어모델(LLM) 기반으로...",2023-11-21
22,"캐나다 주정부, 'LG엔솔·스텔란티스 합작사' 넥스트스타 현지 채용 압박",https://www.mhns.co.kr/news/articleView.html?idxno=566928,문화뉴스,6시간 전,LG에너지솔루션 배터리,"한편, '넥스트스타'는 LG에너지솔루션과 스텔란티스의 전기차 배터리 합작사로, 온타리오주 윈저시에 45기가와트시 규모 배터리 합작공장을 짓고 내년 가동을 앞두고 있다. 지난 8월에 130명 규모의 신규 직원을 선발하는 넥스트스타 윈저공장 첫 채용 모집에는 5000명이 넘는 지원자가 몰리며 관심을 받았다.",2023-11-21
25,SK온 이어 LG엔솔까지…전기차 부진에 배터리 공장 '속도조절',https://www.sedaily.com/NewsView/29X7HI3SDP,서울경제언론사 선정,1주 전,LG에너지솔루션 배터리,단독 공장에서 생산하면 수익의 100%를 LG에너지솔루션이 확보할 수 있다는 장점도 있다. 권영수 LG에너지솔루션 부회장은 1일 배터리 산업의 날 기념식에서 “급히 성장하며 간과한 점들을 다지다 보면 배터리가 한번 더 도약할 시간이 올 것”이라고 말했다.,2023-11-21
26,“전기차 대세 아니었어?”…LG엔솔·포드 튀르키예 배터리공장 철회,https://www.mk.co.kr/article/10872165,매일경제언론사 선정,1주 전,LG에너지솔루션 배터리,"LG에너지솔루션, 포드와 배터리 합작공장 설립을 추진하던 튀르키예 코치 그룹은 11일(현지시간) 합작법인 설립을 위한 3자 양해각서(MOU)를 철회한다고 공시했다. LG에너지솔루션 측은 “3사는 신중한 논의 끝에 현재 소비자들의 전기차 전환 속도를 고려했을 때 튀르키예에 건설 예정이던 셀...",2023-11-21
28,"LG테크놀로지벤처스, AUM 1조원으로…AI·바이오 투자 확대",https://economist.co.kr/article/view/ecn202311190008,이코노미스트언론사 선정,2일 전,LG에너지솔루션 배터리,"그간 LG테크놀로지벤처스는 LG전자(066570), LG디스플레이(034220), LG화학(051910), LG이노텍(011070), LG에너지솔루션(373220), LG유플러스(032640), LG CNS 등 주요... 5년간 LG테크놀로지벤처스를 통해 글로벌 스타트업, 벤처캐피탈 펀드 등 64곳에 4000억원 이상을 투자했다. 특히 인공지능(AI), 바이오, ...",2023-11-21
39,中 CATL '맹추격'…LG엔솔과 非중국 배터리 시장점유율 '동률',https://www.yna.co.kr/view/AKR20231109061900003?input=1195m,연합뉴스,1주 전,LG에너지솔루션 배터리,"올해 1∼9월 중국을 제외한 글로벌 전기차 배터리 시장에서 LG에너지솔루션과 중국 CATL이 시장 점유율 '동률'을 기록했다. 9일 에너지 전문 시장조사업체 SNE리서치에 따르면 1∼9월 중국을 제외한 세계 각국에 판매된 전기차에 탑재된 사용량은 228.0기가와트시(GWh)로, 작년 같은 기간보다...",2023-11-21
40,[신사업 승부수] R&D 확대로 성장 동력 찾는 LG엔솔…'배터리 밸류체인' 넓힌다,https://www.asiatoday.co.kr/view.php?key=20231119010012012,아시아투데이,2일 전,LG에너지솔루션 배터리,예지 보전·자동화·지능화를 통한 스마트팩토리 기반을 구축해 인력을 효율적으로 활용하고 수율·생산성을 개선하는 동시에 품질 안정화를 추진하겠다는 게 목표다.◇폐배터리부터 교환형까지…사업 포트폴리오 넓힌다LG에너지솔루션은 비즈니스 생태계 확장을 위해 사내 독립기업을...,2023-11-21
