index,title,url,press,date,keyword,content,filtered,Blacklist,Scraped_date
0,"DL이앤씨, DL건설 100% 완전 자회사로 편입",http://www.metroseoul.co.kr/article/20231018500645,메트로신문,2023.10.18.,DL이엔씨 CCUS 신사업 해외,"DL이엔씨 CI DL이앤씨는 자회사 DL건설의 보통주 지분 100%를 확보해 완전 자회사로 편입하는 포괄적 주식교환을 추진한다고 18일 밝혔다. DL이앤씨는... DL이앤씨 관계자는 ""DL건설 주주는 유동성이 높고 해외 플랜트 사업 확대와 등 모멘텀이 있는 모회사 이앤씨 주식을 교부 받음으로써 주가...",success,Not in Blacklist,2023-12-27
1,"[PS 건설/부동산] 주택도시보증공사, DL이엔씨, 대우건설",https://www.psnews.co.kr/news/articleView.html?idxno=2024198,퍼블릭뉴스,2023.05.04.,DL이엔씨 CCUS 신사업 해외,"(사진 = DL이엔씨) DL이앤씨·카본코, 인천환경공단, 탄소광물플래그십 사업단 및 학계와 '2050 탄소중립 실현'을 위한 업무협약 체결 - 기후변화 대응 환경 신기술 및 국내외 신사업 개발 상호 협력 - 환경 신기술 상용화를 통한 글로벌 사업 추진 이앤씨( E&C)와 카본코(CARBONCO)는 인천환경공단...",success,Not in Blacklist,2023-12-27
2,"DL이앤씨, 글로벌 CCUS 비즈니스 모델 개발 나서",https://www.ekn.kr/web/view.php?key=20220303010000441,에너지경제,2022.03.03.,DL이엔씨 CCUS 신사업 해외,DL이앤씨가 탄소 활용 사업에 본격적으로 뛰어들었다. DL이엔씨는 탄소 포집 플랜트 건설 분야에서 인정받은 기술력과 경험을 바탕으로 탄소 활용과... 양측은 CCUS 연구개발 성과물의 상용화를 통해서 신사업 모델을 개발할 계획이다. 이앤씨는 지난해부터 ESG(환경·사회·지배구조) 경영을 실천하고...,success,Not in Blacklist,2023-12-27
3,"[임기 만료 앞둔 건설사 CEO 성적] 마창민 DL이앤씨 대표, 위기 돌파구 찾기 '고심'",https://www.newsway.co.kr/news/view?tp=1&ud=2022101813360231731,뉴스웨이,2022.10.19.,DL이엔씨 CCUS 신사업 해외,"일명 CCUS로 불리는 '탄소 포집·활용·저장사업' 등 미래 먹거리 개발도 박차를 가하고 있다. DL그룹의 내부사정에 정통한 한 관계자는 ""이해욱 회장이 건설보다는 석유화학이나 신사업에 관심이 더 크고 DL이앤씨의 역할도 이와 관련한 플랜트 사업에 집중하길 원하고 있다""면서 ""건설업에서...",success,Blacklist,2023-12-27
4,"정부 주택공급 확대 정책 발표, '저평가' DL이앤씨 주목",http://www.newsfreezone.co.kr/news/articleView.html?idxno=334834,뉴스프리존,2021.09.08.,DL이엔씨 CCUS 신사업 해외,"벗어났었던 해외에서 1조 5000억 원 정도 신규수주를 기대한다""고 전망했다. 최근 가장 화두인 ESG(환경·사회·지배구조) 강화 트렌드를 신사업 기회로 활용하고 있다는 점도 주목할 만 하다. DL이앤씨는 이를 위해 수소 생산 및 액화·저장 EPC 및 Operation 영역 사업, 설비 구축사업 등에 진출하고 있어...",fail,Blacklist,2023-12-27
5,"DL이앤씨, DL건설 100% 완전 자회사로 편입",http://www.metroseoul.co.kr/article/20231018500645,메트로신문,2023.10.18.,DL이엔씨 CCUS 신사업 해외,"DL이엔씨 CI DL이앤씨는 자회사 DL건설의 보통주 지분 100%를 확보해 완전 자회사로 편입하는 포괄적 주식교환을 추진한다고 18일 밝혔다. DL이앤씨는... DL이앤씨 관계자는 ""DL건설 주주는 유동성이 높고 해외 플랜트 사업 확대와 등 모멘텀이 있는 모회사 이앤씨 주식을 교부 받음으로써 주가...",success,Not in Blacklist,2023-12-27
6,"[PS 건설/부동산] 주택도시보증공사, DL이엔씨, 대우건설",https://www.psnews.co.kr/news/articleView.html?idxno=2024198,퍼블릭뉴스,2023.05.04.,DL이엔씨 CCUS 신사업 해외,"(사진 = DL이엔씨) DL이앤씨·카본코, 인천환경공단, 탄소광물플래그십 사업단 및 학계와 '2050 탄소중립 실현'을 위한 업무협약 체결 - 기후변화 대응 환경 신기술 및 국내외 신사업 개발 상호 협력 - 환경 신기술 상용화를 통한 글로벌 사업 추진 이앤씨( E&C)와 카본코(CARBONCO)는 인천환경공단...",success,Not in Blacklist,2023-12-27
7,"DL이앤씨, 글로벌 CCUS 비즈니스 모델 개발 나서",https://www.ekn.kr/web/view.php?key=20220303010000441,에너지경제,2022.03.03.,DL이엔씨 CCUS 신사업 해외,DL이앤씨가 탄소 활용 사업에 본격적으로 뛰어들었다. DL이엔씨는 탄소 포집 플랜트 건설 분야에서 인정받은 기술력과 경험을 바탕으로 탄소 활용과... 양측은 CCUS 연구개발 성과물의 상용화를 통해서 신사업 모델을 개발할 계획이다. 이앤씨는 지난해부터 ESG(환경·사회·지배구조) 경영을 실천하고...,success,Not in Blacklist,2023-12-27
8,"[임기 만료 앞둔 건설사 CEO 성적] 마창민 DL이앤씨 대표, 위기 돌파구 찾기 '고심'",https://www.newsway.co.kr/news/view?tp=1&ud=2022101813360231731,뉴스웨이,2022.10.19.,DL이엔씨 CCUS 신사업 해외,"일명 CCUS로 불리는 '탄소 포집·활용·저장사업' 등 미래 먹거리 개발도 박차를 가하고 있다. DL그룹의 내부사정에 정통한 한 관계자는 ""이해욱 회장이 건설보다는 석유화학이나 신사업에 관심이 더 크고 DL이앤씨의 역할도 이와 관련한 플랜트 사업에 집중하길 원하고 있다""면서 ""건설업에서...",success,Blacklist,2023-12-27
9,"정부 주택공급 확대 정책 발표, '저평가' DL이앤씨 주목",http://www.newsfreezone.co.kr/news/articleView.html?idxno=334834,뉴스프리존,2021.09.08.,DL이엔씨 CCUS 신사업 해외,"벗어났었던 해외에서 1조 5000억 원 정도 신규수주를 기대한다""고 전망했다. 최근 가장 화두인 ESG(환경·사회·지배구조) 강화 트렌드를 신사업 기회로 활용하고 있다는 점도 주목할 만 하다. DL이앤씨는 이를 위해 수소 생산 및 액화·저장 EPC 및 Operation 영역 사업, 설비 구축사업 등에 진출하고 있어...",fail,Blacklist,2023-12-27
