단어,빈도수
수요,28
늘,5
고,123
신,1848
사업,3442
호재,20
LPG,44
업계,409
수익,72
성,373
좋아진다,2
더벨,275
Peer,2
Match,2
UpSK,2
가스,921
vs,48
E,34
대등해진,2
어깨,2
차이,2
가를,2
성과,191
기획,351
포토,8
폴리오,5
재,115
편하는,4
수,1819
입사,7
SK,1865
“,592
기름,20
집은,9
울상,2
인데,5
미소,3
”,591
계속,49
잘,19
나가는,13
이유,148
는,721
비즈,57
울,59
웃고,5
IB,32
토마토,52
사,682
진단,42
①,122
LNG,134
찍고,27
수소,5130
안착,37
준비,110
윤병석,5
사장,976
이,666
꿈꾸는,46
울산,125
모델,29
Who,1568
Is,1488
대표이사,986
다가오는,11
소,1600
경,189
제,290
제국,12
롯데,962
케미칼,681
亞,9
유럽,33
공급망,118
구축,414
위,319
의,1233
야심,15
찬,16
출사표,45
빅,75
될,29
것,127
을,207
움직이는,32
사람,25
들,745
화학,561
전문가,23
황,40
진구,28
부사,32
장,234
밸류,226
체인,247
핵심,147
안재현,32
내정자,22
한국,931
주요,542
기업,1742
연말,24
결산,112
②,136
그룹,1447
군,53
미래,1061
박차,316
월,903
주차,161
국내,772
ESG,592
핫클립,251
사우디,246
네,78
옴,71
시티,67
그린,968
에,2232
기회,126
에너지,1663
社,39
청정,213
본격,317
화,665
년,1029
충전,273
개,219
짓겠다,3
분기,159
영업,147
이익,82
억원,49
↑,121
첫,108
중간배당,2
원,203
의결,5
배정,28
철,78
이야기,33
현,536
대,1057
오,345
일,559
뱅크,214
에쓰오일,30
외,143
더,128
벨신,5
추진,371
연내,35
유라시아,1
권,130
매각,63
할까,67
주간,40
뉴스,196
_,24
산업,1012
삼성,722
전자,144
등,768
묘,1
한,877
따로,4
또,30
같이,27
진출,151
우려,38
시선,11
개월,19
만에,120
배터리,377
MA,81
투자,1735
ES,321
전략,396
각자,6
도생,6
최,27
창원,38
부회장,445
디스커버리,12
청사진,46
은,746
소위,13
크,12
株,48
뜬다,35
효성,730
重,90
주목,221
조원,297
키운다,66
집중,236
해외,525
법인,327
도,516
실적,281
개선,141
으로,673
지원,153
사격,4
현대차,717
SKLG,45
내년,130
중심,77
강화,264
방점,31
값,5
급등,93
관련,340
훨훨,9
품은,7
공사,516
시경,4
View,1
김교현,64
체제,53
전환,398
속도,372
낸다,82
LG,595
석유화학,96
에서,248
바이오,195
로,1062
신동빈,50
믿을,2
맨,10
열,83
정년,2
내,74
매출,135
조,811
목표,177
정유,257
갈등,7
봉합,6
부터,171
육성,132
까지,437
경쟁,191
脫,56
모색,63
하는,267
코오롱,199
합종연횡,56
키워라,2
전,373
방위,32
협업,45
나서는,26
석화,40
승진,45
이제,104
다,300
⑯,18
폭넓게,18
이어지는,18
계,498
동맹,226
바람,90
타고,42
탈,97
릴레이,34
강국,33
가는,35
길,79
앞장,61
최태원,222
경영,424
과도,5
상통,2
창간,129
특집,206
와,592
이슈,350
분석,76
맞,205
손수,4
경제,883
빨라진다,11
서,577
살아남으려면,4
가속,217
설치,13
벙커,12
링,15
내는,51
깊어지는,6
K,328
자,119
양극화,9
로봇,98
선제,30
효과,28
시,150
총,166
상위,6
대기업,202
떠받쳐,6
벌겠다,2
체질,48
확,16
바꾼다,15
에코,270
플랜트,384
놓고,7
짝,4
찾기,19
혼자,2
못,19
해,125
좋은,16
찾아야,4
몸집,13
키우는,25
두,79
자릿수,2
눈앞,3
회장,902
겸,242
상공회의소,30
건설,1269
CEO,187
라오스,1
악재,10
이후,19
수주,218
가뭄,10
리뷰,81
리스크,23
넘고,27
혁신,152
깃발,1
꽂는다,1
프로필렌,1
생산,406
개시,4
비바,14
기술,624
세,292
교체,43
새,196
영,71
진수,1
전기차,205
폴,1
더블,3
폰,1
G,33
日中,12
주도,167
뺏,12
겨선,12
안,75
돼,16
日,47
엑스포,43
뜨거운,15
열기,18
최윤,55
범,57
고려아연,234
감소,32
