index,title,url,press,date,keyword,content,Scraped_date
0,전기차 폐배터리 운송부터 재활용까지 '표준화 전략' 본격 추진,https://www.imaeil.com/page/view/2023122017045459821,매일신문,7분 전,LG에너지솔루션 배터리 재활용,"전기차 사용후 배터리(폐배터리) 운송부터 재활용, 폐기까지 밸류체인(가치사슬) 전 단계에 걸친 표준화가 본격 추진된다. 산업통상자원부... 이에 정부는 2차전지 선순환 체계를 마련하기 위해 LG에너지솔루션, 현대차그룹 등이 참여하는 ' 얼라이언스'를 설치·운영 중이다. 지난달 얼라이언스는...",2023-12-20
1,[SK에코플랜트 IPO] 코어는 폐배터리?,https://www.topdaily.kr/articles/95945,톱데일리,8시간 전,LG에너지솔루션 배터리 재활용,배터리셀 제조사인 LG에너지솔루션은 배터리재활용기업인 미국 라이사이클(Li-cycle)과 중국 화유코발트와 손을 잡았다. 삼성SDI와 SK이노베이션(SK온 모회사)은 국내 재활용기업 성일하이텍과 협력하고 있다. SK에코플랜트는 밸류체인에선 후발주자다. M&A 빅딜을 통해 단기에 세계적 경쟁력을...,2023-12-20
2,"폐배터리, 폐기물에서 자원으로…생태계 조성 박차",https://www.mediapen.com/news/view/882033,미디어펜,1시간 전,LG에너지솔루션 배터리 재활용,"재사용 분야는 LG에너지솔루션과 SK온이 관심을 보이고 있다. 업계 관계자는 ""폐배터리 재활용 시장은 전기차 보급 확산과 맞물려 계속 커질 전망이다""라며 ""배터리 소재 공급망 대응 전략으로도 각광받고 있어 광물 추출 등 기술 연구가 활발히 진행 중이다""라고 말했다.",2023-12-20
3,[2024년 경영전략=③ LG] 새 진용 구축한 '구광모號'…'ABC' 사업 속도 낸다,http://www.inews24.com/view/1665339,아이뉴스24언론사 선정,2일 전,LG에너지솔루션 배터리 재활용,폐배터리 재활용 분야에서는 LG에너지솔루션이 지난해 600억원을 투자해 북미 최대 규모의 배터리 재활용 업체인 '라이사이클'의 지분 2.6%를 확보하고 배터리 핵심 소재인 황산니켈을 10년 동안 공급받는 계약을 체결했다. 라이사이클은 니켈 추출 과정에서 분진 발생이 없고 폐수를 100% 해...,2023-12-20
4,"순환경제의 핵심인 배터리 재사용·재활용…""우리가 주도한다""",https://www.hankyung.com/article/2023121826821,한국경제,2일 전,LG에너지솔루션 배터리 재활용,"넷째, 배터리 재사용·재활용 사업의 중요성이 크게 부각돼 LG에너지솔루션, SK에코플랜트, 인선모터스 등이 내년 신규 참여 기업으로 확정되면서 2차전지 기업과의 다각적 협력 네트워킹 활성화를 위한 교두보를 마련했다. 현재 이 사업에는 총 22개의 2차전지 관련 기업 등이 참여하고 있다. 다섯째, 산업부가...",2023-12-20
5,"하나증권 “폐배터리 재활용시장 확대 기대감, 성일하이텍 새빗켐 주목”",https://www.businesspost.co.kr/BP?command=article_view&num=336749,비즈니스포스트,7시간 전,LG에너지솔루션 배터리 재활용,"20일 하나증권은 폐배터리 재활용시장 확대 기대감을 반영해 오늘의 테마로 '폐배터리'를 꼽고 성일하이텍 등을 관련주로 제시했다. 관련주로는 LG에너지솔루션과 성일하이텍, 새빗켐, 케이피에스, 영화테크 등을 제시했다. 정부는 13일 추경호 경제부총리 겸 기획재정부 장관 주재로 열린...",2023-12-20
6,"""핵심광물 中 의존 낮추자""…정부, 폐배터리 생태계 지원",http://www.newsis.com/view/?id=NISX20231214_0002557584&cID=13001&pID=13000,뉴시스언론사 선정,6일 전,LG에너지솔루션 배터리 재활용,"또 폐배터리에서 자원을 회수하는 재활용 사업을 본격화한 LG에너지솔루션, SK온, 삼성SDI 등 국내 배터리 3사와 신사업 도전장을 던진 현대차그룹과 SK에코플랜트, 포스코, 두 등의 사업 진행 속도도 한층 빨라질 전망이다. 은 중국 코발트 생산 업체인 화유코발트 리사이클 합작법인을...",2023-12-20
7,"美서 만든 K배터리, 7년간 90조원 세액공제 혜택",https://www.chosun.com/economy/industry-company/2023/12/15/GEYEZBWQSJFAPBEJISH6HS7TUQ/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,조선일보언론사 선정,4일 전,LG에너지솔루션 배터리 재활용,"미국 현지에서 공장을 신·증설할 예정인 LG에너지솔루션·SK온·삼성SDI 배터리 3사를 비롯해 태양광 업체인 한화솔루션, 풍력타워 전문 기업인... 사용을 막기 위해 미국 정부가 지정하는 대상. FEOC에서 추출·가공·재활용한 광물과 제조·조립한 부품이 들어간 에는 보조금 혜택을 주지 않는다.",2023-12-20
8,‘전기차 폐배터리’ 용어 사라진다…이차전지 재생 시장 개막,https://news.kmib.co.kr/article/view.asp?arcid=0018968348&code=61141111&cp=nv,국민일보,6일 전,LG에너지솔루션 배터리 재활용,"그동안 브랜드 가치 하락을 우려해 폐배터리 꼬리표를 단 시장 진출을 꺼리던 배터리 업계가 움직이기로 했다. 재제조 시장에는 현대차를 필두로 포엔, 피엠그로우 등 중소기업이 진출을 희망하고 있다. 재사용 분야는 LG에너지솔루션과 SK온이 관심을 보인다. 정부는 이차전지 제조에 필요한 핵심광물 확보...",2023-12-20
9,'제품' 인정 받은 폐배터리…'270조' 리사이클 시장 경쟁 '본격화' [소부장박대리],https://www.ddaily.co.kr/page/view/2023121815543896869,디지털데일리,2일 전,LG에너지솔루션 배터리 재활용,"◆ 너도나도 시장 진출…경쟁 본격화=배터리 업계 맏형인 LG에너지솔루션은 지난 2021년 미국 배터리 재활용 기업 라이사이클(Li-cycle)에 지분 투자를 진행한 바 있다. 모기업 LG화학과 함께 600억원(양사 각 300억원)을 투자해 지분 2.6%를 확보하고, 10년간 니켈 2만 톤 공급 계약을 맺었다. 또한 중국 광물 제련...",2023-12-20
