index,title,url,press,date,keyword,content,Scraped_date
0,"39세 상무, 46세 부사장…삼성, 승진자 최근 5년래 최저",https://www.joongang.co.kr/article/25210987,중앙일보언론사 선정,3시간 전,삼성 SDS 투자,김헌준 사욱환 오정원 조한제 ▶상무 권형진 김광수 김대식 김수한 김은하 김춘숙 문철환 이권열 이순률 이순재 임재광 정일형 조우진 최성욱 현장석 ◆삼성SDS ▶부사장 김대우 오영석 ▶상무 권영대 김성곤 김승기 배한욱 사공경 윤민식 창성중 ◆벤처 ▶부사장 장원상 ▶상무 권장혁 이철한,2023-11-29
1,"삼성SDS·전기 'AI 신바람'…기관·외국인, 쌍끌이 매수",https://www.hankyung.com/article/2023112891201,한국경제언론사 선정,20시간 전,삼성 SDS 투자,"삼성전기는 적층세라믹콘덴서(MLCC)가 주력 사업인데, 온디바이스AI 기능이 확대되면서 실적이 개선될 것이라는 전망이 나온다. 온디바이스AI란 클라우드에 연결될 필요 없이 휴대폰 안에서 자체 작동하는 AI를 말한다. 전력 소비가 많기 때문에 MLCC가 더 많이 필요하다. 이규하 NH증권 연구원은...",2023-11-29
2,코스피 소폭 하락세‥삼성SDS 3% ↑,https://imnews.imbc.com/replay/2023/nw1200/article/6548309_36170.html,MBC,1시간 전,삼성 SDS 투자,"투자 주체별 매매 동향을 보면 코스피 시장에서는 개인 홀로 물량을 담고 있습니다. 지난밤 뉴욕 증시는 금리 인상 종결 기대감에 일제히... 반면 삼성SDS는 삼성전자와 대규모 공급 계약을 체결했다는 소식에 3% 이상의 강세 흐름을 나타내고 있고, JW중외제약이 실적 성장 기대감에 힘입어 5% 넘게 상승하고...",2023-11-29
3,삼성전자 '미래단' 출범…신사업에 힘준다,https://www.asiatoday.co.kr/view.php?key=20231127010017506,아시아투데이,1일 전,삼성 SDS 투자,"삼성전자 각 부문장과 디스플레이, 삼성전기와 삼성SDS·삼성SDI, 더 나가면 삼성벤처투자 등이 거론된다. 따라서 기존 '미래전략실'과는 결이 다르다는 게 삼성측 설명이다. 미래단이 사업에만 국한 해 전자와 전자 관련 계열사 역량을 다 끌어 모으는 전자 대표이사 직속 조직이라면, 기존 미전실은 총수...",2023-11-29
4,"""능력만 있으면 30대도 임원""…삼성, 젊은 인재 앞세워 '뉴삼성' 만든다",http://www.g-enews.com/ko-kr/news/article/news_all/2023112912134342976ed0c62d49_1/article.html,글로벌이코노믹,34분 전,삼성 SDS 투자,"삼성전자를 비롯해 삼성디스플레이와 삼성전기·삼성SDI·삼성SDS 등 주요 그룹사들은 이번 인사를 통해 상무와 부사장 등의 자리에 젊은 인재들을 대거... 삼성전기도 동일한 형태로 부사장 2명, 상무 6명 등 총 8명이 승진을 공고했고 벤처도 부사장 1명, 상무 2명의 인사를 알렸다. 의 이 같은...",2023-11-29
5,[더벨][비상장사 재무분석]'CFO는 이사회로' 원칙 정립한 삼성메디슨,https://www.thebell.co.kr/free/content/ArticleView.asp?key=202311230943093080108648,더벨,5시간 전,삼성 SDS 투자,△김종성(삼성SDI) △안정태(삼성SDS) △김성진(삼성전기) 등 다른 계열사에 포진한 경영지원실장 역시 등기임원으로 이름을 올렸다. 사내이사진 합류는... 2017년에 삼성메디슨이 대치동 사옥을 매각할 때도 삼성전자 사내 투자·자산유동화팀에서 실무를 도맡는 등 굵직한 재무 사안에서 공조하는 양상이...,2023-11-29
6,"삼성, 미래 먹거리 컨트롤타워 세웠다… “혼자선 10년 후 주도 못한다”",https://www.asiatoday.co.kr/view.php?key=20231127010017489,아시아투데이,1일 전,삼성 SDS 투자,"삼성전자 각 부문장과 디스플레이, 삼성전기와 삼성SDS·삼성SDI, 더 나가면 삼성벤처투자 등이 거론된다. 따라서 기존 '미래전략실'과는 결이 다르다는 게 삼성측 설명이다. 미래단이 사업에만 국한 해 전자와 전자 관련 계열사 역량을 다 끌어 모으는 전자 대표이사 직속 조직이라면, 기존 미전실은 총수...",2023-11-29
7,"“엠로, 내년 해외 진출...삼성SDS와 시너지 기대”",http://www.fnnews.com/news/202311211103233117,파이낸셜뉴스,1주 전,삼성 SDS 투자,"1% 증가한 458억 원을 기록했다”며 “다만 내년 해외 시장 진출 준비 및 글로벌 통합 공급망관리(SCM) SaaS 플랫폼 개발 관련 투자를 확대하며 수익성은 하락했다”고 분석했다. 또한, 현재 삼성SDS, 미국 공급망계획(SCP) 플랫폼 기업 오나인솔루션즈(o9 Solutions)와 협업해 내년 상반기 출시 예정인 글로벌...",2023-11-29
8,"""강남 오피스는 알토란?""… 금융투자업계, 강남권 수성 나선 까닭 [넘버스]",https://www.bloter.net/news/articleView.html?idxno=608612,블로터언론사 선정,6일 전,삼성 SDS 투자,최근 KB자산운용도 매입금액이 8500억원에 달하는 삼성SDS타워를 매입하며 오피스 빌딩 투자에 나섰다. 2014년 준공된 삼성SDS타워는 서울 강남업무지구(GBD)의 확장권역인 서울 송파구 잠실에 위치해 있다. 삼성SDS가 전체 오피스를 향후 10년간 임차해 10년간 공실 우려가 없는 우량 오피스 자산으로...,2023-11-29
9,KB자산운용 대체투자 3조 확대…2년 연속 1위 질주,https://www.sedaily.com/NewsView/29XBMBQ4LR,서울경제,7일 전,삼성 SDS 투자,올 들어 최대 부동산 거래인 삼성SDS 타워 매입을 포함해 인프라와 기업 지분 등 다양한 자산에 투자하며 2년 새 운용자산도 두 배 가까이 늘었다. 21일 금융투자협회에 따르면 KB자산운용의 대체투자 운용자산(AUM)은 32조 8426억 원으로 전체 운용사 중 1위에 올랐다. 2등인 이지스자산운용(26조 6508억...,2023-11-29
10,"삼성SDS, LG CNS 등 SI 대기업 'AI 전환 경쟁'",http://www.newspim.com/news/view/20231122000839,뉴스핌,6일 전,삼성 SDS 투자,"22일 업계에 따르면 삼성SDS, LG CNS의 올해 반기보고서 기준 SI 기업의 매출액 대비 특수관계자 등과의 거래 비율(내부 거래 비율)은 삼성SDS가 69.4% LG... 매출에 영향을 미칠 수 있을 정도의 상황 개선이 기대된다""며 ""올해는 경제 침체 여파로 집행이 미루어진 영향도 있을 것""이라고 설명했다.",2023-11-29
