index,title,url,press,date,keyword,content,filtered,isBlacklist,Scraped_date
0,"해외건설 수주 4년째 300억 달러 돌파, 목표 '350억 달러'는 끝까지 가봐야",https://www.businesspost.co.kr/BP?command=article_view&num=336327,비즈니스포스트,1주 전,DL이앤씨 암모니아 투자계획 해외,"6%, DL이앤씨 29% 등이다. 올해 국내 부동산시장이 얼어붙자 대형건설사들은 사업포트폴리오 다각화의 일환으로 적극적으로 해외수주에 나섰는데 그런 노력이 결실로 나타나고 있는 것으로 보인다. 대우건설이 투르크메니스탄에서 키얀리 요소· 비료플랜트와 투르크메나밧 인산 비료플랜트 등...",success,Not in Blacklist,2023-12-26
1,DL·SPC 회장님의 불출석사유서 따져봤습니다 [취재후],https://news.kbs.co.kr/news/pc/view/view.do?ncd=7816900&ref=A,KBS언론사 선정,2023.11.14.,DL이앤씨 암모니아 투자계획 해외,이미 적지 않은 돈을 투자한 만큼 '전략적 파트너 관계'가 형성된 기업이라고 볼 수 있습니다. 미국 KBR사 역시 DL이앤씨가 지난해 호주에서 암모니아... 8월부터 계획됐던 해외 순방이라고는 하나 해외사업 개발을 위한 미팅 몇 개가 불출석 사유입니다. 명백히 국감 불출석을 위한 '도피성' 출장이라고...,fail,Not in Blacklist,2023-12-26
2,"포스코·DL이앤씨·SK에코, 43억弗 시장 ‘그린수소’에 주목",http://www.fntimes.com/html/view.php?ud=202310090941579453dd55077bc2_18,한국금융신문,2023.10.10.,DL이앤씨 암모니아 투자계획 해외,"포스코이앤씨는 그린에너지를 중심으로 2030년까지 121조원을 투자할 계획이다. 기존 플랜트·인프라·건축의 틀을 뛰어넘어 융·복합 시너지 구현이... SK에코플랜트는 풍력발전으로 생산한 전기를 물로 분해해 연간 6만톤의 그린수소를 생산하고, 이를 다시 36톤의 그린 로 전환해 유럽 등에...",fail,Not in Blacklist,2023-12-26
3,"SMR 스텝 밟는 DL이앤씨, 글로벌 시장 공략 자신감",http://www.goodkyung.com/news/articleView.html?idxno=199046,굿모닝경제,2023.01.31.,DL이앤씨 암모니아 투자계획 해외,"미국은 차세대 원자로 기술과 SMR 개발을 국가전략산업으로 선정, 7년간 32억달러(3조9000억원)를 투자할 계획이다. DL이앤씨는 단순히 원전 시공에만 머무르지 않고 설계부터 기자재 조달 시공 등 SMR 제작 전반에 관여할 이다. 특히 SMR을 수소- 산업과 연계해 수소 밸류체인 구축을 통한...",fail,Not in Blacklist,2023-12-26
4,[Who Is ?] 이해욱 DL그룹 회장,https://www.businesspost.co.kr/BP?command=article_view&num=309879,비즈니스포스트,2023.03.23.,DL이앤씨 암모니아 투자계획 해외,"수소, 암모니아 등 신사업을 주도하고 있는 카본코를 통해 플랜트 수주를 확대한다는 방침을 세웠다. DL이앤씨는 호주 시장을 시작으로 해외사업을... DL그룹은 2020년에 카리플렉스 인수를 포함해 미국 석유화학단지 투자, 여수 석유화학단지 증설 등 석유화학 사업에 모두 1조 원을 한다는 을...",fail,Blacklist,2023-12-26
5,"국내기업들, 중동시장 공략 박차",http://www.wsobi.com/news/articleView.html?idxno=218425,여성소비자신문,2023.10.23.,DL이앤씨 암모니아 투자계획 해외,또한 부가가치를 창출하기 위해 SMR을 활용하는 청정 수소ㆍ암모니아 생산 모델에 대한 연구에도 힘을 모으기로 했다. DL이앤씨는 차세대 친환경 전력원으로 주목받고 있는 SMR을 미래 성장 동력으로 육성 중이다. 미국의 4세대 SMR 개발 선두 기업인 엑스에너지(X-Energy)에 전략적 자로 참여하고 있다....,fail,Not in Blacklist,2023-12-26
6,"건설사, 친환경사업 그린수소에 '그린라이트'",http://www.goodkyung.com/news/articleView.html?idxno=217565,굿모닝경제,2023.09.20.,DL이앤씨 암모니아 투자계획 해외,"및 암모니아 수소 추출 설비에 대해 자체기술, 외부 라이센스, 전문인력을 확대하고 있다. 앞으로 포스코이앤씨는 수소플랜트 건설 수행 실적을 기반으로 호주, 동남아, 중동 등 해외시장에서 프로젝트를 자체 수행을 위한 역량 강화에 집중한다는 이다. 말레이시아 에너지기업 페트로스와 '이산화탄소...",success,Not in Blacklist,2023-12-26
7,6월 2주 국내 ESG 이슈 핫클립,http://www.impacton.net/news/articleView.html?idxno=6683,임팩트온,2023.06.16.,DL이앤씨 암모니아 투자계획 해외,"현대건설과 DL이앤씨의 경우 각각 12건을 이행했으며 GS건설과 대우건설은 각각 11건을 이행하여 그 뒤를 이었다. 현대차, 태국 전기차 공장 설립 추진... 현대차는 현재 현지 정부와 협상 테이블에 앉아 공장 설립 포함 다양한 지원 프로젝트 등을 검토하고 있다. 장기 프로젝트로 이뤄지는 만큼...",fail,Blacklist,2023-12-26
8,건설업계 '친환경 패러다임' 차세대 먹거리로 부상,http://www.newsprime.co.kr/news/article.html?no=562480,프라임경제,2022.03.04.,DL이앤씨 암모니아 투자계획 해외,적극적인 투자와 연구개발로 지속 가능한 신성장동력 마련에 박차를 가하고 있다. 특히 에너지 전환 분야에서 △폐플라스틱 자원화 △CO2 자원화 △암모니아 수소화 △초소형원자로(MMR) △자체 전력 생산사업을 추진한다. 친환경 분야의 경우 △폐기물 소각 및 매립 사업을 각각 하는 등 입지 구축에...,success,Not in Blacklist,2023-12-26
9,"건설업계 미래 먹거리는 친환경, 무한 기술경쟁 돌입",http://www.naeil.com/news_view/?id_art=389482,내일신문,2021.06.16.,DL이앤씨 암모니아 투자계획 해외,"건설업계는 친환경 사업을 이끌 인재를 영입하는 한편 장기 투자 계획을 수립하고 있다. 한 대형건설사 임원은 ""해외 수주가 열리지 않은데다 국내... DL이앤씨는 천연가스를 통해 암모니아를 생산하는 세계 최대 규모의 사우디아라비아 마덴 플랜트 건설프로젝트를 수행 중이다. 그린수소는...",success,Not in Blacklist,2023-12-26
