index,title,url,press,date,keyword,content,Scraped_date
0,"中 화유, 獨 스타트업 '토제로'와 배터리 폐기물 재활용 파트너십",https://www.theguru.co.kr/news/article.html?no=63077,더구루,1일 전,포스코HY클린메탈 배터리 재활용,"포스코와는 합작 법인 '포스코HY클린메탈'을 설립하고 올 7월 전남 광양 율촌산업단지에 재활용 공장을 준공했다. 사라 플라이셔 토제로 최고경영자(CEO)는 ""우리는 전 세계에 영향을 미치는 과제인 배터리 낭비와의 싸움에서 새로운 시대를 개척하고 있다""며 ""현지에 축적된 폐기물을 적절하게...",2023-11-27
1,폐기물 꼬리표 떼는 ‘사용 후 배터리’… 선점 경쟁 불 붙는다,https://biz.chosun.com/industry/company/2023/11/14/SJBEA2MCABGSXIZO7TDXZPHCLQ/?utm_source=naver&utm_medium=original&utm_campaign=biz,조선비즈언론사 선정,1주 전,포스코HY클린메탈 배터리 재활용,"포스코와 중국 화유코발트가 합작 설립한 포스코HY클린메탈, 성일하이텍, 에코프로의 사용 후 배터리 전문 재활용 자회사 에코프로씨엔지, 영풍 등이 대표적이다. 원료 확보 때문에 국내뿐 아니라 해외 기업과 협력이 늘어나는 추세다. 이날 3사를 비롯해 현대차, 현대모비스, 성일하이텍 등 24개 기업...",2023-11-27
2,폐배터리 리사이클링 나서는 기업들,http://www.wsobi.com/news/articleView.html?idxno=221859,여성소비자신문,6일 전,포스코HY클린메탈 배터리 재활용,"PLSC는 연산 7천 톤의 생산능력을 갖춘 이차전지 재활용 공장이다. 배터리 제조과정에서 발생하는 폐기물인 스크랩과 폐배터리를 수거, 분쇄해 가루형태의 중간가공품(블랙 파우더)을 만들고, 이 중간가공품을 포스코HY클린메탈에 공급해 리튬, 니켈, 코발트, 망간 등을 추출 한다는 계획이다. 이어...",2023-11-27
3,[기획]전기차 배터리 재사용-재활용 차이는?,http://www.m-i.kr/news/articleView.html?idxno=1065051,매일일보,2주 전,포스코HY클린메탈 배터리 재활용,"담당하는 포스코HY클린메탈을 설립해 생산역량 규모를 키우고 있다. 업계 관계자는 ""폐배터리의 재사용과 재활용의 선순환이 이뤄지게 되면 많은 양의 에너지를 다시 사용할 수 있게 되는 것""이라며 ""새로운 배터리를 생산하는 과정에서 발생하는 온실가스를 감축하고 자원 고갈을 방지할 수 있는 긍정적인...",2023-11-27
4,"[기획]'순환자원' 인정 폐배터리, 시장 경쟁 더 치열해진다",http://www.m-i.kr/news/articleView.html?idxno=1065404,매일일보,2주 전,포스코HY클린메탈 배터리 재활용,"재활용 과정이 수월해지면서 업계도 치열한 경쟁을 펼치고 있다. 시장조사업체 SNE리서치에 따르면 세계 폐배터리 재활용 시장 규모는 올해 7000억원에서 2030년 12조원, 2050년 600조원까지 성장할 것으로 전망되는 등 전도유망한 시장이기 때문이다. 홀딩스는 을 설립해 LG에너지솔루션...",2023-11-27
5,"광양 한 업체 도산위기...""포스코hy클린메탈에 공사대금 10억 못 받아""",https://daily.hankooki.com/news/articleView.html?idxno=1016468,데일리한국,3주 전,포스코HY클린메탈 배터리 재활용,"한편 지난 7월 10일 광양시 율촌1산단에서 포스코hy클린메탈 1공장 준공식이 개최됐다. 포스코홀딩스와 중국 화유코발트, GS에너지가 합작한 폐배터리 재활용 기업으로 2030년까지 연 5만 2000t의 블랙파우더(폐배터리 전처리 생산물)를 처리하는 기업이다.",2023-11-27
6,폐배터리도 이제 ‘순환자원’…전기차 배터리 재활용 사업 탄력받나 [비즈360],http://news.heraldcorp.com/view.php?ud=20231101000088,헤럴드경제,3주 전,포스코HY클린메탈 배터리 재활용,"이미 포스코와 GS, 에코프로 등 다수 기업이 배터리 재활용 사업을 미래 성장동력으로 낙점하고, 시장에 뛰어든 상태다. 포스코HY클린메탈은 LG에너지솔루션 폴란드 공장의 배터리 스크랩을 구매하는 방식으로 폐배터리 사업을 진행하고 있다. GS건설의 자회사인 에네르마도 리튬이온 사업을 추진...",2023-11-27
7,"포스코HY클린메탈 비전 발표…""폐배터리 재활용 7년내 4배로""",https://www.hankyung.com/economy/article/2023071852991,한국경제,2023.07.18.,포스코HY클린메탈 배터리 재활용,열린 ‘배터리 리사이클링 데이’ 행사에서 이 같은 사업전략을 발표했다. 지난 7일 준공한 포스코HY클린메탈 폐배터리 재활용 공장은 연간 1만2000t의 블랙파우더를 처리한다. 블랙파우더란 폐배터리를 파쇄해 나온 검은색 분말이다. 리튬 니켈 코발트 망간 등 고가 배터리 광물이 들어있다.,2023-11-27
8,"포스코홀딩스, ‘포스코HY클린메탈’ 배터리 재활용 공장 준공",https://www.dailian.co.kr/news/view/1251333/?sc=Naver,데일리안,2023.07.09.,포스코HY클린메탈 배터리 재활용,"포스코홀딩스가 지난해 8월 폴란드에 설립한 PLSC(Poland Legnica Sourcing Center) 공장에서 이차전지 스크랩과 폐배터리를 파쇄해 블랙파우더를 만들고, 이를 전라남도 율촌산업단지의 포스코HY클린메탈 리사이클링 공장에 공급해 이차전지소재 원료 금속을 추출하는 구조다. 은 이차전지소재...",2023-11-27
9,"로크웰 오토메이션, 포스코HY클린메탈에 자동화 솔루션 구축",http://www.digitaltoday.co.kr/news/articleView.html?idxno=483527,디지털투데이,2023.08.02.,포스코HY클린메탈 배터리 재활용,포스코HY클린메탈 공장 전경 [사진: 로크웰 오토메이션 코리아] 미국 기업인 로크웰 오토메이션이 포스코그룹 계열사 포스코HY클린메탈의 배터리 재활용 공장 분산제어시스템(DSC) 구축을 완료했다고 2일 밝혔다. 로크웰 오토메이션 코리아는 과 공장에 자동화 솔루션...,2023-11-27
10,[비즈S+]소재업계 운명 쥔 FEOC가 뭐길래 … 정부도 총력 대응,http://moneys.mt.co.kr/news/mwView.php?no=2023112315021975059,머니S언론사 선정,3일 전,포스코HY클린메탈 배터리 재활용,"포스코홀딩스는 GS에너지, 화유코발트와 함께 폐배터리 재활용 합작법인 포스코HY클린메탈(포스코홀딩스·GS에너지 합작사 지분 65%, 화유코발트 지분 35%)을 설립했다. 두 합작사 모두 화유코발트 지분이 25%를 넘는다. 업계는 정부의 물밑작업으로 인해 FEOC 세부규정이 국내 업체들에 유리하게 정해지길...",2023-11-27
11,"지분 정리 마친 포스코·GS 합작사, 배터리 재활용 ‘드라이브’",https://biz.chosun.com/industry/company/2023/09/07/WOPNF4CQKVDJBBVEVXASOYUPCY/?utm_source=naver&utm_medium=original&utm_campaign=biz,조선비즈언론사 선정,2023.09.07.,포스코HY클린메탈 배터리 재활용,포스코GS에코머티리얼즈는 포스코가 중국 최대 코발트 기업 화유코발트와 설립한 사용 후 배터리 재활용 합작법인 포스코HY클린메탈도 자회사로 두고 있다. 포스코HY클린메탈은 지난 2월 공장 가동을 시작해 지난 5월 초도 제품을 생산했다.,2023-11-27
12,이차전지 후발주자도 '군침'···폐배터리 격전지로 급부상,http://www.enewstoday.co.kr/news/articleView.html?idxno=2047139,이뉴스투데이,2023.10.16.,포스코HY클린메탈 배터리 재활용,여기에 포스코가 앞서 중국 화유코발트와 설립한 배터리 재활용 합작법인인 포스코HY클린메탈을 자회사로 두고 폐배터리를 비롯한 이차전지 공급망 구축 효과를 극대화할 방침이다. ◇ 국내 굴지의 대기업들 속속 진출···성장세 장점 롯데에너지머티리얼즈로 이차전지 소재 사업에 진출한 롯데그룹은...,2023-11-27
13,"포스코퓨처엠, 광양시와 배터리소재 인재 키운다…특별 교육과정 개설",http://news.heraldcorp.com/view.php?ud=20230922000104,헤럴드경제,2023.09.22.,포스코HY클린메탈 배터리 재활용,이 밖에도 포스코그룹은 광양시 관내에 ▷포스코필바라리튬솔루션 ▷포스코리튬솔루션 ▷SNNC ▷포스코HY클린메탈 등 배터리소재 생산부터 재활용까지 밸류체인 전체를 아우르는 복합단지를 구축했다. 김준형 포스코퓨처엠 사장은 “글로벌 성장을 지속하고 있는 소재 사업을 뒷받침할 인재 육성 및...,2023-11-27
14,'51 대 49' 지분 확정한 포스코-GS…폐배터리 사업 본격화,http://news.mt.co.kr/mtview.php?no=2023090814212226346,머니투데이,2023.09.08.,포스코HY클린메탈 배터리 재활용,포스코GS에코머티리얼즈는 포스코가 중국 최대 코발트 기업 화유코발트와 설립한 폐배터리 재활용 합작법인 포스코HY클린메탈도 자회사로 두고 있다. 포스코GS에코머티리얼즈는 향후 폐배터리 재활용에 더해 이차전지 진단과 평가 등의 서비스로 사업을 확장할 계획이다. 초대 대표는 홀딩스...,2023-11-27
15,[폐배터리 경쟁]下 GS·현대차도 뛰어든다…기업 각개전투 돌입,http://www.newspim.com/news/view/20230920000389,뉴스핌,2023.09.20.,포스코HY클린메탈 배터리 재활용,포스코GS에코머티리얼즈는 포스코가 중국 최대 코발트 기업 화유코발트와 설립한 사용 후 배터리 재활용 합작법인 포스코HY클린메탈도 자회사로 두고 있다. 포스코HY클린메탈과 더불어 그룹 내 이차전지 공급망을 강화할 전망이다. 소재 업체도 폐 시장에 진출했다. 고려아연은 기존 비철금속 제련...,2023-11-27
16,"국내 굴지 대기업, 폐배터리 시장 참여 러시",https://zdnet.co.kr/view/?no=20230924184013,지디넷코리아언론사 선정,2023.09.29.,포스코HY클린메탈 배터리 재활용,특히 포스코GS에코머티리얼즈는 포스코가 중국 화유코발트와 설립한 사용 후 배터리 재활용 합작법인 포스코HY클린메탈도 자회사로 두고 있다. 이를 통해 폐배터리를 비롯한 이차전지 공급망 구축 효과를 극대화한다는 방침이다. 두산그룹도 마찬가지다. 종합 에너지 기업으로 도약을 선언한...,2023-11-27
17,"[주간 뉴스브리프] 포스코퓨처엠-한동대, 배터리소재 인재 육성 '맞손' 外",http://www.thelec.kr/news/articleView.html?idxno=22383,디일렉,2023.08.04.,포스코HY클린메탈 배터리 재활용,"포스코HY클린메탈은 포스코그룹 폐배터리 재활용 사업을 담당한다. 폐배터리 블랙파우더에서 양극재 원료를 생산한다. ◆중앙디앤엠-엔켐 합작사, 리튬염 공장 착공 중앙디앤엠은 지난 3일 엔겜과 합작사 이디엘이 전북 군산시 베스트웨스턴 호텔에서 '새만금 리튬염 공장 착공식'을 개최했다. 오정강...",2023-11-27
18,"LG엔솔-화유코발트, 중국에 ‘폐배터리 재활용’ 공장 설립",https://www.hani.co.kr/arti/economy/marketing/1103466.html,한겨레,2023.08.08.,포스코HY클린메탈 배터리 재활용,앞서 포스코도 2021년 5월 중국 화유코발트와 폐배터리 재활용 합작법인 포스코에이치와이(HY)클린메탈을 세우고 운영하고 있다. 폐배터리 재활용 산업 규모는 2040년 200조원 규모로 예상된다. 전기차·배터리 시장조사업체인 에스엔이리서치는 2030년 60조원에서 2040년 200조원 규모까지 확대될 것으로 전망했다.,2023-11-27
19,"김준형 포스코퓨처엠 사장 “2030년 매출 43조원, 충분히 가능”",https://biz.chosun.com/industry/company/2023/08/28/L4F5VYPENFB4ZGKAOXBSFMGMEE/?utm_source=naver&utm_medium=original&utm_campaign=biz,조선비즈,2023.08.28.,포스코HY클린메탈 배터리 재활용,"그는 “포스코그룹은 리튬(아르헨티나), 흑연(탄자니아), 니켈(호주, 필리핀) 등 주요 소재들에 대한 광산을 보유하고 있고 공장에서 발생하는 스크랩과 사용 후 배터리를 재활용하는 포스코HY클린메탈도 자회사로 두고 있다”며 “광산부터 에 이르는 풀(full) 밸류체인을 구축해 차별적...",2023-11-27
20,'전기차 배터리 재활용 현재와 미래'…18일 SNE리서치 세미나,https://view.asiae.co.kr/article/2023071111354822334,아시아경제,2023.07.11.,포스코HY클린메탈 배터리 재활용,"이온 배터리 재활용(Closing the Loop for Raw Materials: Sustainable Lithium-ion Battery Recycling)’이라는 주제로 발표한다. 국내 재활용 산업을 주도하는 포스코 HY클린메탈의 송민석 사업운영실장, 영풍의 심태준 전무, 에너지머터리얼즈의 심인용 대표 발표도 이어진다. SNE리서치 관계자는 "" 산업을...",2023-11-27
21,"값싼 LFP 배터리 인기 끌자 새로운 고민…""재활용 쉽지 않아 큰일""",https://www.news1.kr/articles/5114277,뉴스1,2023.07.20.,포스코HY클린메탈 배터리 재활용,포스코홀딩스는 중국 화유코발트·GS에너지와의 배터리 재활용 합작사인 '포스코HY클린메탈'에서 건식 제련 방식의 LFP 배터리 재활용 기술을 개발하고 있다. 다만 LFP 배터리 재활용 기술 개발이 완료되더라도 사업성 확보가 업계의 최대 과제가 될 전망이다. LFP 를 해 금속을 추출하는...,2023-11-27
22,"[르포]포스코퓨처엠, 축구장 75개 부지에 양극재 풀밸류체인 갖췄다",http://www.edaily.co.kr/news/newspath.asp?newsid=01830246635677472,이데일리언론사 선정,2023.07.23.,포스코HY클린메탈 배터리 재활용,"축구장 약 75개 규모의 부지에는 전기차 100만대의 규모의 양극재를 생산하는 포스코퓨처엠 양극재 광양 공장과 전구체 공장, 최근 가동을 시작한 폐배터리 재활용업체 포스코HY클린메탈 리사이클링 공장, 막바지 공사가 한창인 수산화리튬을 생산하는 필바라리튬솔루션 공장이 나란히 들어서...",2023-11-27
23,韓中 배터리 합작사로 '윈윈' 노린다..미중 갈등 격화 변수,http://www.edaily.co.kr/news/newspath.asp?newsid=01177526635707976,이데일리,2023.08.16.,포스코HY클린메탈 배터리 재활용,"포스코홀딩스와 GS에너지의 경우 지난 2021년 화유코발트와 폐배터리 재활용 사업을 하는 ‘포스코HY클린메탈’을 설립, 올해 초 공장 가동에 들어서 지난 5월부터 본격 생산에 돌입했다. 연간 1만2000t의 블랙파우더(폐 분쇄 가루)를 처리하고 있다. 업계에서는 한중 합작사 설립은 양국 모두 윈윈할...",2023-11-27
24,"포스코 양극재 단입자 전초 기지, 축구장 75개 크기 ‘이차전지 심장’",https://www.seoul.co.kr/news/newsView.php?id=20230724017010&wlog_tag3=naver,서울신문,2023.07.24.,포스코HY클린메탈 배터리 재활용,"축구장 75개 크기인 53만 2000㎡에는 포스코퓨처엠을 중심으로 수산화리튬을 생산하는 포스코필바라리튬솔루션, 폐배터리를 재활용하는 포스코HY클린메탈이 자리하고 있다. 김지훈 포스코HY클린메탈 마케팅팀장은 “양극재 생산 과정에서 발생하는 불량품을 가져와 한다”며 “그룹의 이차전지 소재...",2023-11-27
