index,title,url,press,date,keyword,content,Scraped_date
0,"삼성, 경영 혹한서도 SW 인재 육성 불 지핀다…이재용의 동행 철학",http://www.kukinews.com/newsView/kuk202312190117,쿠키뉴스,1일 전,삼성 SDS 투자,"삼성전자와 삼성SDS, 삼성전기, 삼성SDI, 삼성디스플레이, 에스원 등 삼성 계열사 SW 개발 담당 직원 150여명이 멘토로 교육 과정에 참여한다. SSAFY는... 이 회장은 지난 2월에도 삼성전자 천안·온양사업장을 방문해 “어려운 상황이지만 인재 양성과 미래 기술 에 조금도 흔들림이 있어서는 안 된다”...",2023-12-21
1,삼성물산도 타깃됐다…행동주의펀드 움직임 '심상치 않네',http://news.tf.co.kr/read/economy/2062404.htm,더팩트언론사 선정,2일 전,삼성 SDS 투자,"외국계 행동주의펀드, 삼성물산에 연이은 개선 촉구 서한 보내 금융투자업계 ""적극적 주주 활동 내년 3월까지 늘어날 것"" 이윤을 취득하기 위해 주가... 실제로 홍라희 전 리움 관장과 이부진 사장, 이서현 이사장은 지난 10월 31일 전자와 물산, 등 계열사 지분을 상속세 납부용으로 일부...",2023-12-21
2,삼성 이재용 동행철학 청년 인재로 결실…SSAFY 취업자 5천명 돌파,https://www.upinews.kr/newsView/1065590134678088,UPI뉴스,1일 전,삼성 SDS 투자,"교육 내용에는 삼성전자, 삼성SDS, 삼성전기, 삼성SDI, 삼성디스플레이, 에스원 등 삼성 계열사 SW 개발 담당 직원들의 멘토 활동도 포함된다. SSAFY는... [삼성전자 제공] 이재용 회장은 올해 2월 삼성전자 천안·온양사업장을 방문해 ""어려운 상황이지만 인재 양성과 미래 기술 에 조금도 흔들림이...",2023-12-21
3,"삼성SDS, 물류사업 진심인 이유",https://dealsite.co.kr/articles/114962,딜사이트,1일 전,삼성 SDS 투자,"지난해 해상 물류 가시성 관련 기술을 보유한 미국 물류 스타트업 '비전'에 지분 투자를 단행하는 등 서비스 고도화에 박차를 가하고 있는 것도 이와 무관치 않다. 삼성SDS 관계자는 ""글로벌 물동량은 워낙 세계 경기에 민감해 (업황) 예측이 쉽지 않다""며 ""영업이익률이 낮은만큼 전세계 각 지역마다...",2023-12-21
4,클라우드가 이끈 삼성SDS ‘신고가’,https://www.mk.co.kr/article/10897669,매일경제,7일 전,삼성 SDS 투자,"개인을 제외한 외국인, 기관투자자들이 삼성SDS에 대한 연중 순매수세를 보이고 있다. 외국인, 기관투자자들은 올해 들어 삼성SDS 주식을 각각 1940억원, 1347억원 순매수했다. 특히 기관투자자의 경우 연기금, 투신, 사모펀드 등 주요 수급주체들이 모두 주식을 대거 사들이고 있다. 클라우드 사업의 외형...",2023-12-21
5,웹·모바일·클라우드까지 디지털 DNA 수혈…IT 선수들과 동맹 맺는 증권사들,https://www.ajunews.com/view/20231219104744108,아주경제,4시간 전,삼성 SDS 투자,경쟁이 심화하며 투자 문턱을 낮추고 금융 서비스 편의성을 높여 차별화하기 위해서다. 20일 한국투자증권은 주요 인터넷 전문은행과 제휴 서비스를... 삼성그룹 계열인 삼성SDS가 자체 구축·운영하고 있는 ‘삼성 클라우드 플랫폼(SCP)’이 이러한 모니모의 서비스 안정성을 담당하고 있다.,2023-12-21
6,"[실탄 늘리는 삼성] 3개년 주주환원정책 끝, 내년 특별배당 없나",https://dealsite.co.kr/articles/114975,딜사이트,1일 전,삼성 SDS 투자,"⑥반도체 대규모 적자 속 내년 캐펙스 투자 줄일 수 없지만 현 수준 유지가능성↑ 삼성전자가 올해로 3개년 주주환원 정책이 끝난다. 이에 내년도... 재계 한 관계자는 ""이 회장이 삼성전자, 삼성물산, 삼성생명, 삼성SDS 등으로부터 받는 배당금과 일부 신용대출로 상속세를 내고 있다""면서 ""배당금을 받지...",2023-12-21
7,[Who Is ?] 황성우 삼성SDS 대표이사 사장,https://www.businesspost.co.kr/BP?command=article_view&num=336251,비즈니스포스트,6일 전,삼성 SDS 투자,"삼성SDS가 지분투자한 비전은 인공지능 기술을 활용해 세계 해운 선사 및 항만 터미널의 화물 위치 정보 등 주요 데이터를 자동 수집·분석해 높은 정확도의 화물 운송 정보를 실시간으로 제공한다. 삼성SDS는 이러한 화물 위치 정보를 첼로스퀘어와 연계해 화물 운송 트래킹, 선박 스케줄 등 정보 제공...",2023-12-21
8,삼성SDS·현대위아·SKC ‘2023 대한민국 올해의 ESG기업’,https://www.mk.co.kr/article/10900908,매일경제,2일 전,삼성 SDS 투자,"이날 시상식에서는 삼성SDS(정보통신기술·산업통상자원부 장관상), 현대위아(자유소비재·환경부 장관상), SKC(THWO·환경재단 이사장상)가 부문별... 홍종호 서울대학교 환경대학원 교수가 심사위원장을 맡았으며, 심사위원은 최열 환경재단 이사장, 윤덕찬 후즈굿 대표, 양춘승 한국사회책임포럼...",2023-12-21
9,"""삼성SDS, 내년 클라우드 성장 원년될 것""-대신",https://www.hankyung.com/article/2023121451516,한국경제,7일 전,삼성 SDS 투자,"대신증권은 삼성에스디에스(삼성SDS)에 대해 내년 클라우드 성장의 원년이 될 것이라며 투자의견 '매수', 목표주가 21만원을 제시했다. 이지은 대신증권 연구원은 14일 ""삼성SDS는 내년 1분기 생성형 인공지능(AI) 서비스인 브리티 코파일럿 일부와 패브릭스를 출시할 예정""이라며 ""생성형 AI 서비스들이...",2023-12-21
10,"삼성전자, 정보보안 인력 1년새 70% 늘렸다",https://www.dt.co.kr/contents.html?article_no=2023121002109931065001&ref=naver,디지털타임스,1주 전,삼성 SDS 투자,"삼성SDS는 관련 투자를 대폭 늘리면서 순위를 작년보다 13계단이나 끌어올렸다. 삼성SDS(11.33%)는 LG전자(11.71%)와 함께 전체 IT 투자 중 정보보호 비중이 두자릿수였다. 미국, 독일, 영국 등 해외 기업들은 정보보호 액 비중이 20%가 넘는 수준으로, 우리나라는 절대 비중이 낮은 상황이다....",2023-12-21
11,"NH證 ""삼성SDS, 내년 초 생성형 AI 출시 기대…목표가↑""",http://www.newsis.com/view/?id=NISX20231207_0002549094&cID=10403&pID=15000,뉴시스,2주 전,삼성 SDS 투자,"NH투자증권은 7일 삼성SDS에 대해 ""정보기술(IT) 투자 축소, 물동량과 운임 약세 등 어려운 업황에도 클라우드 고성장을 통한 외형 성장과 수익성 개선, 디지털 포워딩 서비스 적용 확대로 대응하고 있다""며 ""내년 초 기업형 생성형 인공지능(AI) 서비스 출시 등 IT서비스, 물류사업 고도화가 기대된다""고...",2023-12-21
12,"삼성SDS, 현대위아, SKC… 환경재단 선정 ‘올해의 ESG 기업’",http://www.edaily.co.kr/news/newspath.asp?newsid=02050006635838848,이데일리,5일 전,삼성 SDS 투자,"(1열 좌측부터) 홍종호 서울대학교 환경대학원 교수, 윤석중 삼성SDS ESG기획그룹장, 이정욱 현대위아 기획실장, 박상욱 SKC ESG경영팀장, 최열 환경재단 이사장 (2열 좌측부터) 임대웅 UNEP 금융이니셔티브 대표, 양춘승 한국사회책임포럼 상임이사, 이윤정 김&장 법률사무소 변호사, 이미경 환경재단...",2023-12-21
13,"삼성SDS, 클라우드 내년 실적 견인 기대",http://www.newsprime.co.kr/news/article.html?no=621871,프라임경제,7일 전,삼성 SDS 투자,"대신증권은 14일 삼성SDS(018260)에 대해 클라우드가 내년 실적을 견인할 것이라며 투자의견 '매수', 목표주가 21만원으로 제시했다. 대신증권은 내년 삼성SDS의 매출액과 영업이익을 전년 대비 각각 6.4% 증가한 14조1395억원, 15% 늘어난 9191억원으로 전망했다. 이는 IT 서비스 매출 성장 영향이다....",2023-12-21
14,"SK·NH투자증권 ""삼성SDS, 클라우드·AI 기대감…목표가 21만 원""",http://news.tf.co.kr/read/economy/2060170.htm,더팩트,1주 전,삼성 SDS 투자,"NH투자증권은 삼성SDS의 IT 서비스 매출이 전년 동기보다 8% 늘어난 1조6387억 원으로, IT 투자 지연에 따른 전반적인 매출 약세를 고부가 클라우드 고성장으로 상쇄할 것이라고 전망했다. 영업이익률은 11.3%로 전분기 대비 소폭 개선될 것으로 예상했다. 물류업무처리아웃소싱(BPO) 매출액은 32% 줄어든...",2023-12-21
15,"삼성전자, '스마트공장 3.0' 중기 600곳 지원 … 이재용 ""상생 선순환""",https://www.mk.co.kr/article/10900465,매일경제,3일 전,삼성 SDS 투자,"중소·중견기업에 300억 투자 AI 기술 기반 공장 고도화 중기 ESG 전담조직도 운영 ""거래관계 없는 중기도 지원 생태계 전체 경쟁력 강화"" 삼성전자는 상생... 이웃사랑성금에는 삼성전자뿐만 아니라 삼성디스플레이·삼성SDI·전기··생명·화재·카드·증권·물산...",2023-12-21
16,[각본없는 드라마]<5> 삼성 4대 프로구단 ‘제일기획 암흑기’,https://www.imaeil.com/page/view/2023121518022310698,매일신문,4일 전,삼성 SDS 투자,"12년 전 삼성 라이온즈 김인 전 사장과 인터뷰를 하기 위해 서울로 올라갔던 기억이 생생하다.(본지 2011년 2월12일 게재) 삼성 SDS 사장을 하다 야구단... 구단에 대한 투자가 곧 성적과 직결되는 프로팀의 생리상 삼성은 추락은 예견돼 있었다. 당시 이재용 전자 회장을 비롯한 임원진들은 ""이렇게까지 돈을...",2023-12-21
17,"황성우 삼성SDS 사장, 연임성공했지만…'클라우드·AI 경쟁' 산 넘어 산[어바웃 C]",https://www.bloter.net/news/articleView.html?idxno=608852,블로터언론사 선정,3주 전,삼성 SDS 투자,"하지만 오랫동안 삼성SDS에 투자한 주주들을 만족시킬 수준이 아니라는 것은 황 사장도 잘 알고 있다. 한편, 삼성SDS는 이날 부사장 2명, 상무 7명 등 총 9명 규모의 2024년 정기 임원 인사를 단행했다. 김대우 솔루션사업부 솔루션개발실장(상무)과 오영석 통합보안센터장(상무)이 부사장으로 승진했으며...",2023-12-21
18,"국내 기업, 정보보호 투자액 늘렸다",https://www.incheonilbo.com/news/articleView.html?idxno=1224958,인천일보,1주 전,삼성 SDS 투자,"정보보호 투자액 상위 10대 기업은 삼성전자, KT, 쿠팡, SK하이닉스, SK텔레콤, 국민은행, 삼성SDS, LG전자, LG유플러스, 네이버 순이다. 업종별 1위 기업은 제조업의 경우 삼성전자(2435억원·904.2명), 정보통신업은 KT(1035억원·303.8명), 도매 및 소매업은 쿠팡(639억원·167.7명) 등이다. 또 금융·보험업은...",2023-12-21
19,'삼성SDS타워 8500억'…서울 상업용 부동산 거래 15개월 만에 최대,http://www.newsis.com/view/?id=NISX20231201_0002542489&cID=10401&pID=10400,뉴시스언론사 선정,2주 전,삼성 SDS 투자,"올해 상업용 부동산 ‘최대어’로 꼽힌 서울 송파구 신천동 소재 '삼성SDS타워'가 8500억원에 거래된 효과다. 1일 상업용 부동산 종합 서비스 기업... 류강민 알스퀘어 리서치센터장은 ""높은 금리 탓에 투자하기 쉽지 않은 환경이지만, 안정적인 임대시장 덕분에 거래 규모가 감소한 가운데에서도...",2023-12-21
0,2030년까지 로봇 100만 대 보급…3조 투자한다,http://news.tf.co.kr/read/economy/2061841.htm,더팩트언론사 선정,6일 전,포스코 해외 투자,"대표, 포스코DX 윤석준 상무, CMES 이성호 대표 등 기업 경영진과 한국로봇산업협회 김완수 회장, 한국기계산업진흥회 조영철 회장 등이 참석했다.... 방문규 장관은 ""로봇산업이 글로벌 수준의 기술력을 확보하고 새로운 성장동력으로서 'K-로봇경제'를 실현하도록 확대와 신시장 창출 등을 위해...",2023-12-21
