index,title,url,press,date,keyword,content,Scraped_date
0,"<selenium.webdriver.remote.webelement.WebElement (session=""51de38dba11fc0ed6420349bc0670497"", element=""A1406686B6D9E314AA0533648FDADDF4_element_181"")>",http://news.tf.co.kr/read/economy/2060759.htm,더팩트언론사 선정,2일 전,삼성 SDS 투자,"IT분야 제조업인 삼성전자는 올해 정보보호 관련 투자만 2435억 원을 집행했으며, 904.2명이 정보보호에 전담하면서 전담인력이 가장 많은 기업에도 이름을 올렸다. 이 외에도 KT(1035억 원), 쿠팡(639억 원), SK하이닉스(590억 원), SK텔레콤(550억 원), 국민은행(542억 원), (530억 원), LG전자(457억 원)...",2023-12-12
1,"<selenium.webdriver.remote.webelement.WebElement (session=""51de38dba11fc0ed6420349bc0670497"", element=""A1406686B6D9E314AA0533648FDADDF4_element_279"")>",https://www.incheonilbo.com/news/articleView.html?idxno=1224958,인천일보,23시간 전,삼성 SDS 투자,"정보보호 투자액 상위 10대 기업은 삼성전자, KT, 쿠팡, SK하이닉스, SK텔레콤, 국민은행, 삼성SDS, LG전자, LG유플러스, 네이버 순이다. 업종별 1위 기업은 제조업의 경우 삼성전자(2435억원·904.2명), 정보통신업은 KT(1035억원·303.8명), 도매 및 소매업은 쿠팡(639억원·167.7명) 등이다. 또 금융·보험업은...",2023-12-12
2,"<selenium.webdriver.remote.webelement.WebElement (session=""51de38dba11fc0ed6420349bc0670497"", element=""A1406686B6D9E314AA0533648FDADDF4_element_315"")>",http://www.newsis.com/view/?id=NISX20231207_0002549094&cID=10403&pID=15000,뉴시스,5일 전,삼성 SDS 투자,"NH투자증권은 7일 삼성SDS에 대해 ""정보기술(IT) 투자 축소, 물동량과 운임 약세 등 어려운 업황에도 클라우드 고성장을 통한 외형 성장과 수익성 개선, 디지털 포워딩 서비스 적용 확대로 대응하고 있다""며 ""내년 초 기업형 생성형 인공지능(AI) 서비스 출시 등 IT서비스, 물류사업 고도화가 기대된다""고...",2023-12-12
3,"<selenium.webdriver.remote.webelement.WebElement (session=""51de38dba11fc0ed6420349bc0670497"", element=""A1406686B6D9E314AA0533648FDADDF4_element_371"")>",https://www.sedaily.com/NewsView/29YF47UUGY,서울경제,5일 전,삼성 SDS 투자,"전날 삼성SDS는 1.21% 내린 16만 3800원에 거래를 마쳤다. 삼성SDS의 올해 4분기 매출과 영업이익은 각각 3조 5159억 원, 2026억 원으로 시장 컨센서스에... IT 투자가 점진적으로 늘어날 것으로 보이는 점도 긍정적”이라고 분석했다. 내년 1분기에는 생성형 인공지능(AI) 서비스 출시가 예상돼 IT 서비스...",2023-12-12
4,"<selenium.webdriver.remote.webelement.WebElement (session=""51de38dba11fc0ed6420349bc0670497"", element=""A1406686B6D9E314AA0533648FDADDF4_element_420"")>",https://www.mk.co.kr/article/10895456,매일경제,1일 전,삼성 SDS 투자,"삼성SDS, 크래프톤, 삼성전기, 엔씨소프트, LG이노텍 등 국내 대표 테크 기업 10곳을 담고 있습니다. SK하이닉스의 비중이 23.48%(11월 24일 기준)로 가장 높습니다. 정 부장은 “KOSEF K-테크 TOP10 ETF는 향후 10년 이상 폭발적으로 성장할 메가트렌드에 하는 상품”이라며 “국내 코스피와 코스닥 시장을...",2023-12-12
5,"<selenium.webdriver.remote.webelement.WebElement (session=""51de38dba11fc0ed6420349bc0670497"", element=""A1406686B6D9E314AA0533648FDADDF4_element_453"")>",https://www.news2day.co.kr/article/20231208500215,뉴스투데이,9시간 전,삼성 SDS 투자,"삼성SDS 관계자는 뉴스투데이에 “앞으로 클라우드 사업과 디지털 물류 사업에 투자를 늘릴 것”이라며 “엠로 인수는 통합적 공급망관리(SCM) 역량과 클라우드 서비스 소프트웨어(SaaS) 사업을 강화하기 위한 행보”라고 설명했다. 그는 ""신종 코로나바이러스 감염증(코로나19) 팬데믹(대유행)과...",2023-12-12
6,"<selenium.webdriver.remote.webelement.WebElement (session=""51de38dba11fc0ed6420349bc0670497"", element=""A1406686B6D9E314AA0533648FDADDF4_element_480"")>",https://www.etoday.co.kr/news/view/2309508,이투데이,5일 전,삼성 SDS 투자,"김동양 NH투자증권 연구원은 “삼성SDS는 IT 투자 축소, 물동량 및 운임 약세 등 어려운 업황에도 클라우드 고성장 통한 외형 성장과 수익성 개선, 디지털 포워딩 서비스 적용 확대로 대응했다”며 “2024년 초 기업형 생성형 AI 서비스 출시 등 IT서비스 및 물류사업 고도화 기대된다”고 밝혔다....",2023-12-12
7,"<selenium.webdriver.remote.webelement.WebElement (session=""51de38dba11fc0ed6420349bc0670497"", element=""A1406686B6D9E314AA0533648FDADDF4_element_1009"")>",https://www.news1.kr/articles/5253971,뉴스1,5일 전,삼성 SDS 투자,"투자의견은 매수를 유지했다. 최관순 SK증권 연구원은 7일 보고서를 통해 ""삼성SDS는 올해 체질개선을 통한 장기 성장 동력을 확보했다""며 이같이 밝혔다. 최 연구원은 ""삼성SDS는 지난 11월28일 동탄 데이터센터를 활용한 4608억원 규모의 HPC 클라우드 서비스 계약을 체결했는데 고객사의 IT 가...",2023-12-12
8,"<selenium.webdriver.remote.webelement.WebElement (session=""51de38dba11fc0ed6420349bc0670497"", element=""A1406686B6D9E314AA0533648FDADDF4_element_1077"")>",https://www.bloter.net/news/articleView.html?idxno=608852,블로터언론사 선정,1주 전,삼성 SDS 투자,"하지만 오랫동안 삼성SDS에 투자한 주주들을 만족시킬 수준이 아니라는 것은 황 사장도 잘 알고 있다. 한편, 삼성SDS는 이날 부사장 2명, 상무 7명 등 총 9명 규모의 2024년 정기 임원 인사를 단행했다. 김대우 솔루션사업부 솔루션개발실장(상무)과 오영석 통합보안센터장(상무)이 부사장으로 승진했으며...",2023-12-12
9,"<selenium.webdriver.remote.webelement.WebElement (session=""51de38dba11fc0ed6420349bc0670497"", element=""A1406686B6D9E314AA0533648FDADDF4_element_1110"")>",http://www.edaily.co.kr/news/newspath.asp?newsid=01518646635834256,이데일리,1주 전,삼성 SDS 투자,"올해 상업용 부동산 ‘최대어’로 꼽힌 서울 송파구 신천동 소재 ‘삼성SDS타워’가 8500억원에 거래된 효과다. 이로 인해 서울 업무용 건물... 류강민 리서치센터장은 “높은 금리 탓에 투자하기 쉽지 않은 환경이지만, 안정적인 임대시장 덕분에 거래 규모가 감소한 가운데에서도 오피스 거래가...",2023-12-12
10,"<selenium.webdriver.remote.webelement.WebElement (session=""51de38dba11fc0ed6420349bc0670497"", element=""C3AB61045508E912A08DC8AC4B0235B3_element_2378"")>",http://www.fnnews.com/news/202312070854500323,파이낸셜뉴스,5일 전,삼성 SDS 투자,"최 연구원은 ""삼성에스디에스는 지난 11월 28일 동탄 데이터 센터를 활용한 4608억원 규모의 HPC 클라우드 서비스 계약을 체결했는데 고객사의 IT 투자가 점진적으로 증가할 것으로 예상되는 점이 긍정적""이라며 ""또 2024년 1·4분기 생성형 AI 서비스 출시가 예상됨에 따라 내년 IT 서비스 부문 매출은...",2023-12-12
11,"<selenium.webdriver.remote.webelement.WebElement (session=""51de38dba11fc0ed6420349bc0670497"", element=""C3AB61045508E912A08DC8AC4B0235B3_element_2514"")>",https://www.businesspost.co.kr/BP?command=article_view&num=335267,비즈니스포스트,6일 전,삼성 SDS 투자,◆ 생애 최윤호는 삼성SDI 대표이사 사장이다. 삼성전자 미래전략실 출신의 재무 전문가로 삼성SDI 배터리사업의 대규모 투자를 추진하면서 '수익성... 같은 날 삼성SDS도 이사회를 통해 선임사회이사제도를 도입하기로 결정했다. 선임사외이사제도는 대표이사 또는 사내이사가 이사회 의장을 맡을...,2023-12-12
12,"<selenium.webdriver.remote.webelement.WebElement (session=""51de38dba11fc0ed6420349bc0670497"", element=""C3AB61045508E912A08DC8AC4B0235B3_element_2550"")>",http://www.thelec.kr/news/articleView.html?idxno=24641,디일렉,1일 전,삼성 SDS 투자,정보보호 전담인력 상위 10대 기업은 ▲삼성전자 904.2명 ▲KT 303.8명 ▲삼성SDS 225.3명 ▲포스코 220.5명 ▲SK텔레콤 197.4명 ▲쿠팡 167.7명 ▲LG CNS 142.4명 ▲엔씨소프트 119.8명 ▲네이버 119.6명 ▲LG유플러스 117.3명 순이다. 한편 2년 연속 공시 이행 기업은 613개다. 평균 액은 28억원...,2023-12-12
