단어,빈도수
수소,5130
사업,3442
에,2232
SK,1865
신,1848
수,1819
기업,1742
투자,1735
에너지,1663
소,1600
Who,1568
Is,1488
그룹,1447
건설,1269
의,1233
현대,1232
친환경,1067
로,1062
미래,1061
한화,1059
대,1057
년,1029
산업,1012
대표이사,986
주,984
사장,976
그린,968
롯데,962
한국,931
가스,921
월,903
회장,902
발전,894
포스코,888
경제,883
한,877
조,811
국내,772
등,768
은,746
들,745
효성,730
GS,729
삼성,722
는,721
현대차,717
사,682
케미칼,681
으로,673
탄소,667
이,666
화,665
시장,639
기술,624
LG,595
와,592
ESG,592
“,592
”,591
과,582
서,577
두산,574
화학,561
일,559
주요,542
현,536
해외,525
공사,516
도,516
계,498
합작,494
글로벌,493
전망,484
중공업,481
부회장,445
까지,437
확대,429
경영,424
중립,417
구축,414
업계,409
협력,408
생산,406
가,399
전환,398
전략,396
연료,391
플랜트,384
배터리,377
성,373
전,373
속도,372
추진,371
엔지니어링,365
기획,351
이슈,350
오,345
시대,344
제조업,341
너,341
관련,340
성장,333
정의선,330
K,328
법인,327
ES,321
위,319
본격,317
선도,316
박차,316
건설업,306
다,300
생태계,299
전지,298
조원,297
물산,293
세,292
제,290
종합,289
자동차,289
설립,288
대표,287
실적,281
더벨,275
충전,273
에코,270
HD,269
하는,267
재계,266
강화,264
조현준,258
정유,257
적,256
기,253
억,253
핫클립,251
에서,248
체인,247
선,247
사우디,246
세계,244
먹거리,243
겸,242
개발,241
인,240
집중,236
장,234
外,234
고려아연,234
만,232
소재,232
정부,231
지,231
손,230
동맹,226
밸류,226
공기업,225
솔루션,225
리포트,224
암모니아,222
최태원,222
주목,221
개,219
수주,218
美,218
가속,217
도약,216
위기,215
중동,215
정기,214
뱅크,214
청정,213
확보,213
올해,209
모빌리티,208
을,207
특집,206
맞,205
속,205
전기차,205
‧,203
원,203
대기업,202
앤,201
공장,199
코오롱,199
새,196
뉴스,196
확장,195
액화,195
바이오,195
양,195
선점,194
경쟁,191
성과,191
위해,190
경,189
CEO,187
기대,187
정,187
유치,185
출범,185
오늘,181
간,178
목표,177
강세,176
원전,176
부터,171
티,171
인프라,171
수소차,169
주도,167
총,166
IPO,164
남동,162
주차,161
형,161
철강,160
분기,159
韓,158
증권,157
김동관,156
최초,155
승부,154
지원,153
혁신,152
진출,151
尹,151
시,150
협약,150
빌리,150
이유,148
오션,148
핵심,147
영업,147
씨,146
연,146
전자,144
한다,144
외,143
코리아,143
체결,143
개선,141
활용,141
분야,140
상장,139
공급,139
칼텍스,139
활성화,137
②,136
홍,135
매출,135
력,135
LNG,134
규모,134
저,134
퀴드,134
및,133
에어리,133
착수,133
실증,133
육성,132
개최,131
반도체,130
