,cnt,description,link,org_link,pDate,title
0,1,"VC에는 블루포인트파트너스, 키움<b>인베스트먼트</b>, <b>스마일게이트인베스트먼트</b>, 동훈<b>인베스트먼트</b>, 앤슬파트너스가 참여해 투자유치 성공전략에 대한 다양한 의견을 제시했다. 강민재 지오벤처스 대표는 &quot;스타트업은... ",http://www.bizwnews.com/news/articleView.html?idxno=70767,http://www.bizwnews.com/news/articleView.html?idxno=70767,2023-11-20 11:56:00,"와이앤아처, 판교 스타트업 활성화 '제4회 Pan-Pan Day' 성료"
1,2,"VC에는 블루포인트파트너스, 키움<b>인베스트먼트</b>, <b>스마일게이트인베스트먼트</b>, 동훈<b>인베스트먼트</b>, 앤슬파트너스가 참여해 투자유치 성공전략에 대한 다양한 의견을 제시했다. 지오벤처스 강민재 대표는 “스타트업은... ",http://www.beyondpost.co.kr/view.php?ud=202311201124014819aeda69934_30,http://www.beyondpost.co.kr/view.php?ud=202311201124014819aeda69934_30,2023-11-20 11:56:00,"와이앤아처, 판교 스타트업 활성화 ’제4회 Pan-Pan Day’ 성황리 마무리"
2,3,"VC에는 블루포인트파트너스, 키움<b>인베스트먼트</b>, <b>스마일게이트인베스트먼트</b>, 동훈<b>인베스트먼트</b>, 앤슬파트너스가 참여해 투자유치 성공전략에 대한 다양한 의견을 제시했다. 지오벤처스 강민재 대표는 “스타트업은... ",http://www.globalepic.co.kr/view.php?ud=2023112011244019779aeda69934_29,http://www.globalepic.co.kr/view.php?ud=2023112011244019779aeda69934_29,2023-11-20 11:56:00,"와이앤아처, 판교 스타트업 활성화 ’제4회 Pan-Pan Day’ 성황리 종료"
3,4,"에이티넘<b>인베스트먼트</b>와 스톤브릿지벤처스, <b>스마일게이트인베스트먼트</b> 등 대형 벤처캐피털(VC)들이 연이어 수천억원 규모의 대형 펀드를 조성하면서 회복 기대감에 불을 지폈다. 중소벤처기업부가 최근 발표한 3분기... ",https://www.chosun.com/economy/tech_it/2023/11/20/5MA7KW4ERRGBND35HRBPQ7PVNQ/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,https://www.chosun.com/economy/tech_it/2023/11/20/5MA7KW4ERRGBND35HRBPQ7PVNQ/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,2023-11-20 04:19:00,"국내 스타트업 투자, 다시 찬바람… 10월 60% 급감"
4,5,지난 5월에는 <b>스마일게이트인베스트먼트</b> 소속 강정훈 이사를 영입하고 벤처투자3본부장 전무로 선임했다. 절반가량의 심사역이 새롭게 교체됐다. 이는 인력 이탈 때문이다. JB금융은 메가인베 인력 대부분을... ,https://www.thebell.co.kr/free/content/ArticleView.asp?key=202311151525538440102731,https://www.thebell.co.kr/free/content/ArticleView.asp?key=202311151525538440102731,2023-11-17 08:32:00,"[더벨][은행 계열 VC 톺아보기]'지주 무한 신뢰' 이구욱 JB인베 대표, '사단'..."
5,6,비링커는 이밖에 ▲연세대학교 예비창업패키지 선정 ▲ 연세대학교 캠퍼스타운 선정 ▲<b>스마일게이트인베스트먼트</b> 오렌지플래닛 7기 선정 ▲한국산업인력공단 스마트-K팩토리 공유 허브 기업 선정 등 다양한 성과를... ,http://www.issuenbiz.com/news/articleView.html?idxno=33038,http://www.issuenbiz.com/news/articleView.html?idxno=33038,2023-11-17 08:00:00,"비링커, 신용보증기금으로부터 시드투자 유치⋯설립 반년만에 3개 투자사 확보..."
6,7,남기문 <b>스마일게이트 인베스트먼트</b> 대표는 “경기 사이클상 바닥에 근접했다고 판단되면 기업 가치가 낮은 곳에 선제적으로 투자하고 경기 상승 국면에 회수하는 전략을 펼 수 있다”며 “내년부터는 본격적으로... ,https://www.munhwa.com/news/view.html?no=2023111601071707025001,https://www.munhwa.com/news/view.html?no=2023111601071707025001,2023-11-16 11:40:00,"3분기 ‘반짝 잠 깬’ 벤처투자, 내년에도 계속 달릴까"
7,8,활발한 투자 활동에는 <b>스마일게이트인베스트먼트</b>가 중요한 역할을 맡고 있다. 이번 투자건에 대한 검토와 조언 역시 이 곳에서 이뤄진 것으로 파악된다. 이를 통해 단순투자 뿐만 아니라 유망한 초기 스타트업에도... ,https://www.thebell.co.kr/free/content/ArticleView.asp?key=202311141549184880104460,https://www.thebell.co.kr/free/content/ArticleView.asp?key=202311141549184880104460,2023-11-16 10:08:00,"[더벨]투자 확대나선 <b>스마일게이트</b>, 수익 다각화 모색"
8,9,"92%) 중 136만6063주(2.86%)를 장내매도했다. 초기 투자자는 삼호그린<b>인베스트먼트</b>와 컴퍼니케이파트너스, <b>스마일게이트인베스트먼트</b> 등이다 #IPO #NH투자증권 #한국금융지주 #파두 #한누리",http://www.fnnews.com/news/202311151540243360,http://www.fnnews.com/news/202311151540243360,2023-11-15 17:49:00,"법무법인 한누리, 파두·NH-한투證에 집단소송"
9,10,"이러한 아바타테라퓨틱스의 2023년도 Series-A 프로젝트에는 티에스 <b>인베스트먼트</b>, 신한캐피탈, <b>스마일게이트 인베스트먼트</b>, 원익투자 파트너스가 참여해 총 50억원을 투자하고 있다. 한편 서울창조경제혁신센터가... ",https://www.joongang.co.kr/article/25206793,https://www.joongang.co.kr/article/25206793,2023-11-13 12:03:00,조승희 아바타테라퓨틱스 대표 “엔지니어링 AAV 개발로 유전자치료 선도”
10,11,장정호 상무에게 <b>스마일게이트인베스트먼트</b>는 항상 초심을 돌아보게 하는 곳이다. 13년차 투자 심사역으로 일하고 있지만 그는 경력이 쌓여갈수록 스타트업에 진정으로 도움을 주는 심사역이 되기 위한 고민과 책임감이... ,http://www.newstomato.com/ReadNews.aspx?no=1207587&inflow=N,http://www.newstomato.com/ReadNews.aspx?no=1207587&inflow=N,2023-11-13 10:38:00,[IB토마토](IB&amp;피플)장정호 <b>스마일게이트인베스트먼트</b> 상무
11,12,"초기 투자자는 삼호그린<b>인베스트먼트</b>와 컴퍼니케이파트너스, <b>스마일게이트인베스트먼트</b> 등이다 #팹리스 #반도체 #NH투자증권 #한국투자증권 #<b>스마일게이트인베스트먼트</b> #포레스트파트너스 #파두 #세쿼이아... ",http://www.fnnews.com/news/202311130703487377,http://www.fnnews.com/news/202311130703487377,2023-11-13 08:01:00,시총 1兆 무너진 파두의 해명 &quot;부정적 의도·계획 없었다&quot;
12,13,"초기 투자자는 삼호그린<b>인베스트먼트</b>와 컴퍼니케이파트너스, <b>스마일게이트인베스트먼트</b> 등이다. 이중 삼호그린<b>인베스트먼트</b>는 2017년 전환사채(CB) 20억원어치 취득, 2020년 상환전환우선주(RCPS) 20억원어치 인수... ",https://www.bloter.net/news/articleView.html?idxno=608151,https://www.bloter.net/news/articleView.html?idxno=608151,2023-11-10 15:11:00,"'파두' 초기투자 한 포레스트파트너스, 잇단 주식처분 '1110억' 회수 [넘버스..."
13,14,"9일 관련업계에 따르면 유전자 치료제 플랫폼 개발 업체 '아바타테라퓨틱스(이하 아바타테라, 대표 조승희)'는 지난 7일 티에스<b>인베스트먼트</b>와 신한캐피탈, <b>스마일게이트인베스트먼트</b>, 원익투자파트너스로부터... ",http://www.the-stock.kr/news/articleView.html?idxno=19180,http://www.the-stock.kr/news/articleView.html?idxno=19180,2023-11-10 04:42:00,'희귀질환' 치료제 글로벌 개발경쟁 치열…K-스타트업들 투자유치·해외진출 ...
14,15,"에이티넘<b>인베스트먼트</b>, DSC<b>인베스트먼트</b>, 프리미어파트너스, <b>스마일게이트인베스트먼트</b>, DS자산운용, 쿨리지코너<b>인베스트먼트</b>가 투자금을 댔다. 힘든 시기였지만, 해당 투자금을 바탕으로 로앤컴퍼니는 확장에... ",https://www.thebell.co.kr/free/content/ArticleView.asp?key=202311071433400840102156,https://www.thebell.co.kr/free/content/ArticleView.asp?key=202311071433400840102156,2023-11-09 08:58:00,"[더벨][로톡발 훈풍, 리걸테크 개화]'기사회생' 로앤컴퍼니, &quot;3년 내 유니콘 ..."
15,16,"이날 설명회에서는 한국거래소, 삼성증권, <b>스마일게이트 인베스트먼트</b> 관계자를 비롯해 도내 기업 임직원 등이 참석한 가운데 주요 심사 사항 및 실제 상장 사례가 중점적으로 공유됐다. 이부연 코스닥시장본부장보는... ",http://www.jejuilbo.net/news/articleView.html?idxno=216708,http://www.jejuilbo.net/news/articleView.html?idxno=216708,2023-11-08 17:18:00,&quot;제주 유망 기술기업 코스닥 상장 지원 강화&quot;
16,17,환경부(장관 한화진)는 미래환경산업 투자펀드를 운용하고 있는 △<b>스마일게이트인베스트먼트</b> △포스코기술투자 △한화투자증권 △이앤<b>인베스트먼트</b> △비엔케이벤처투자 △디쓰리쥬빌리파트너스... ,http://www.todayenergy.kr/news/articleView.html?idxno=266084,http://www.todayenergy.kr/news/articleView.html?idxno=266084,2023-11-08 16:58:00,"환경부, 민간투자 8개사와 녹색산업 투자 가속화 논의"
17,18,"한국거래소 강세중 혁신성장지원팀장이 기술특례 상장제도 및 중점 심사사항을 안내하고, 삼성증권 이기덕 본부장의 코스닥 상장 성공 사례, <b>스마일게이트 인베스트먼트</b> 김영민 상무의 투자유치 전략(VC) 특강 등 기업의... ",http://www.headlinejeju.co.kr/news/articleView.html?idxno=528897,http://www.headlinejeju.co.kr/news/articleView.html?idxno=528897,2023-11-08 15:42:00,"제주 기업들, 기술특례 상장제도 A부터 Z까지 '성공사례' 배운다"
18,19,이날 행사에는 이부연 한국거래소 코스닥본부장보와 삼성증권·<b>스마일게이트 인베스트먼트</b> 관계자를 비롯해 도내 기업 임직원 등 50여명이 참석했다. 이번 설명회에서는 주요 심사사항 및 실제 상장사례 등을 중점... ,http://www.jemin.com/news/articleView.html?idxno=763093,http://www.jemin.com/news/articleView.html?idxno=763093,2023-11-08 15:26:00,기술특례 상장제도 찾아가는 설명회 개최
19,20,"한국거래소 강세중 혁신성장지원팀장이 기술특례 상장제도와 중점 심사사항을 안내하고, 삼성증권 이기덕 본부장의 코스닥 상장 성공 사례, <b>스마일게이트 인베스트먼트</b> 김영민 상무의 투자유치 전략(VC) 특강 등 기업의... ",https://news.bbsi.co.kr/news/articleView.html?idxno=3131545,https://news.bbsi.co.kr/news/articleView.html?idxno=3131545,2023-11-08 10:52:00,제주기업 상장 기회 제공의 장...기술특례 상장 설명회
20,21,"티에스<b>인베스트먼트</b>가 이번 투자를 리드했으며, 신한캐피탈ㆍ<b>스마일게이트인베스트먼트</b>ㆍ원익투자파트너스가 참여했다. 아바타테라퓨틱스는 지난 2020년 9월 설립된 바이오텍으로, 아데노 부속 바이러스(AAV) 유전자... ",http://www.hitnews.co.kr/news/articleView.html?idxno=49742,http://www.hitnews.co.kr/news/articleView.html?idxno=49742,2023-11-07 17:54:00,"'유전자 치료제 플랫폼' 아바타테라퓨틱스, 50억 시리즈 A 투자 유치"
21,22,"이들 민간투자사는 <b>스마일게이트인베스트먼트</b>, 포스코기술투자, 한화투자증권, 이앤<b>인베스트먼트</b>, 비엔케이벤처투자, 디쓰리쥬빌리파트너스, 브이엘<b>인베스트먼트</b>, 인프라프론티어 자산운용 등이다. 환경부에 따르면... ",https://www.viva100.com/main/view.php?key=20231107010002064,https://www.viva100.com/main/view.php?key=20231107010002064,2023-11-07 17:24:00,"환경부, 한화투자증권 등 민간투자 8개사와 녹색산업 투자 가속화 논의… 맞춤..."
22,23,시프트업은 ‘니케’ 출시 전인 지난해 7월 IMM<b>인베스트먼트</b>와 <b>스마일게이트인베스트먼트</b> 등으로부터 투자를 유치한 바 있다. 당시 평가된 시프트업의 기업가치는 1조원이었다. 하지만 1년3개월여 만인 지난달 24일... ,https://www.ebn.co.kr/news/view/1598750/?sc=Naver,https://www.ebn.co.kr/news/view/1598750/?sc=Naver,2023-11-07 14:30:00,"시프트업, 내년 IPO 성공 기대감...승리의 여신 ‘니케’ 효과"
23,24,"이날 간담회에는 <b>스마일게이트인베스트먼트</b>와 포스코기술투자, 한화투자증권 등이 참석했다. 환경부는 2017년부터 녹색산업 분야 중소·벤처기업 육성을 위한 민관 합동펀드(미래환경산업 투자펀드)에 총 1878억 원... ",http://www.e-platform.net/news/articleView.html?idxno=81335,http://www.e-platform.net/news/articleView.html?idxno=81335,2023-11-07 14:28:00,'녹색산업 투자' 가속화 위해 민간투자 8개사와 논의 시작
24,25,"티에스<b>인베스트먼트</b>가 주도한 이번 투자에는 신한캐피탈, <b>스마일게이트인베스트먼트</b>, 원익투자파트너스가 참여했다. 아바타테라퓨틱스는 유전자치료제의 약물전달체로 널리 쓰이는 아데노부속바이러스(AAV)... ",https://www.hankyung.com/article/202311078316i,https://www.hankyung.com/article/202311078316i,2023-11-07 13:54:00,"아바타테라퓨틱스, 50억원 규모 시리즈A투자 유치"
25,26,TS<b>인베스트먼트</b>·신한캐피탈·<b>스마일게이트인베스트먼트</b>·원익투자파트너스가 참여했다. 작년 시드 펀딩에서 단 1개 기관투자가로부터 6억원을 조달한 것을 감안하면 이번 펀딩이 거의 첫 조달인 셈이다. 2020년 9월... ,https://www.thebell.co.kr/free/content/ArticleView.asp?key=202307121348528560104165,https://www.thebell.co.kr/free/content/ArticleView.asp?key=202307121348528560104165,2023-11-07 13:02:00,[더벨]유전자치료제 CMO '아바타테라퓨틱스' 시리즈A 조달
26,27,"간담회에 참여하는 민간 투자사 8곳은 <b>스마일게이트인베스트먼트</b>, 포스코기술투자, 한화투자증권, 이앤<b>인베스트먼트</b>, 비엔케이벤처투자, 디쓰리쥬빌리파트너스, 브이엘<b>인베스트먼트</b>, 인프라프론티어 자산운용 등이다.... ",https://www.electimes.com/news/articleView.html?idxno=328463,https://www.electimes.com/news/articleView.html?idxno=328463,2023-11-07 13:02:00,"환경부, 민간투자 8개사와 녹색산업 분야 펀드 확대 논의"
27,28,"환경부(장관 한화진)는 오는 8일 한국벤처투자(서울 서초구 소재)에서 미래환경산업 투자펀드를 운용하고 있는 민간투자사 8개사(<b>스마일게이트인베스트먼트</b>, 포스코기술투자, 한화투자증권, 이앤<b>인베스트먼트</b>... ",http://www.energydaily.co.kr/news/articleView.html?idxno=141499,http://www.energydaily.co.kr/news/articleView.html?idxno=141499,2023-11-07 13:00:00,"환경부, 민간투자 8개사와 녹색산업 투자 가속화 논의한다"
28,29,해당 민간 투자사는 ▲<b>스마일게이트인베스트먼트</b> ▲포스코기술투자 ▲한화투자증권 ▲이앤<b>인베스트먼트</b> ▲비엔케이벤처투자 ▲디쓰리쥬빌리파트너스 ▲브이엘<b>인베스트먼트</b> ▲인프라프론티어 자산운용 등 8곳이다.... ,http://www.constimes.co.kr/news/articleView.html?idxno=243269,http://www.constimes.co.kr/news/articleView.html?idxno=243269,2023-11-07 12:44:00,"환경부, 민간투자 8개사와 녹색산업 투자펀드 논의"
29,30,"이날 간담회에는 <b>스마일게이트인베스트먼트</b>, 포스코기술투자, 한화투자증권, 이앤<b>인베스트먼트</b>, 비엔케이벤처투자, 디쓰리쥬빌리파트너스, 브이엘<b>인베스트먼트</b>, 인프라프론티어 자산운용 등이 참여한다. 이번... ",https://www.dnews.co.kr/uhtml/view.jsp?idxno=202311070919203380162,https://www.dnews.co.kr/uhtml/view.jsp?idxno=202311070919203380162,2023-11-07 12:22:00,"환경부, 민간투자 8개사와 내년 녹색산업 투자펀드 논의"
30,31,"해당 민간 투자사는 <b>스마일게이트인베스트먼트</b>, 포스코기술투자, 한화투자증권, 이앤<b>인베스트먼트</b>, 비엔케이벤처투자, 디쓰리쥬빌리파트너스, 브이엘<b>인베스트먼트</b>, 인프라프론티어 자산운용 등 8곳이다.... ",http://www.newsis.com/view/?id=NISX20231107_0002511485&cID=10201&pID=10200,http://www.newsis.com/view/?id=NISX20231107_0002511485&cID=10201&pID=10200,2023-11-07 12:01:00,"환경부, 내년 환경산업 펀드 출자규모 확대…올해 500억→780억"
