,cnt,description,link,org_link,pDate,title
0,1,“와이비엠(YBM)과 <b>에누마</b>가 교육업계를 바꾸는 게임 체인저 역할을 하고 싶습니다.” 1961년 창업한 60년 교육전문기업 YBM과 글로벌 에듀테크기업 <b>에누마</b>가 인공지능(AI) 디지털교과서 개발을 위한 대장정에 올랐다.... ,https://www.etnews.com/20231117000239,https://www.etnews.com/20231117000239,2023-11-19 17:02:00,"이수인 <b>에누마</b> 대표-허문호 YBM 대표, “AI 디지털교과서 글로벌 성공사례 만..."
1,2,"◇ <b>에누마</b>코리아 - YBM, AI디지털교과서 공동 개발 MOU 체결 에듀테크 기업 <b>에누마</b>코리아가 YBM과 '2022 개정 교육과정 AI디지털교과서 공동 개발'을 위한 업무협약(MOU)을 체결했다. 이번 협약으로 양사는 2025년에 사용될... ",https://it.chosun.com/news/articleView.html?idxno=2023092104721,https://it.chosun.com/news/articleView.html?idxno=2023092104721,2023-11-18 07:26:00,"[주간 에듀테크] 비상교육, 美에 한국어 교육 플랫폼 수출 계약 외"
2,3,"보성고등학교, ㈜유비온, <b>에누마</b>코리아, OHFA Tech 등 다양한 개발협력사업을 수행하는 산학연관민-국제기구 주체들이 교육개발협력 및 교육ODA 관련 현안에 대해 논의한다. 김관영 경남국제개발협력센터장은 “서울을... ",https://ilyo.co.kr/?ac=article_view&entry_id=462527,https://ilyo.co.kr/?ac=article_view&entry_id=462527,2023-11-18 00:04:00,[경상국립대] 2023 제10회 교육 ODA 컨퍼런스 개최 外
3,4,"유비온, <b>에누마</b>코리아, OHFA Tech 등 다양한 개발협력사업을 수행하는 산학연관민-국제기구 주체들이 교육개발협력 및 교육 ODA 관련 현안에 대해 논의하고, 더 나은 SDG4 거버넌스 확대를 위한 미래 정책 및 전략을... ",http://www.metroseoul.co.kr/article/20231117500308,http://www.metroseoul.co.kr/article/20231117500308,2023-11-17 16:28:00,"경상국립대 경남국제개발협력센터, 2023 제10회 교육 ODA 컨퍼런스 개최"
4,5,<b>에누마</b>코리아는 YBM과 '2022 개정 교육과정 인공지능(AI) 디지털교과서 공동 개발'을 위한 업무협약(MOU)을... 이번 협약은 YBM이 새로운 교육 과정에 맞춰 제작한 지류 교과서 콘텐츠에 기반해 <b>에누마</b>가 AI 디지털... ,https://www.news1.kr/articles/5234587,https://www.news1.kr/articles/5234587,2023-11-17 14:01:00,"<b>에누마</b>코리아-YBM, AI디지털교과서 공동 개발 MOU"
5,6,"이외에도 월드비전, 밀알복지재단, 장애학생취업박람회, 모두를 위하나 기초학습(<b>에누마</b>코리아), 대한사회복지회 등이 참여한 SDGs를 주제로 하는 전시 및 체험 프로그램이 진행됐다. 안드레의바다는 SDGs 17개... ",https://www.dt.co.kr/contents.html?article_no=2023111702109923613003&ref=naver,https://www.dt.co.kr/contents.html?article_no=2023111702109923613003&ref=naver,2023-11-17 11:32:00,"안드레의바다, 한양대 사회혁신축제 `세븐틴 하츠 페스티벌` 참가"
6,7,"글로벌 에듀테크 기업 <b>에누마</b>코리아(대표 전유택)가 YBM(대표 허문호, 정용환)과 '2022 개정 교육과정... 이번 협약은 YBM이 새로운 교육 과정에 맞춰 제작한 지류 교과서 콘텐츠에 기반해 <b>에누마</b>가 AI 디지털 교과서를... ",http://www.newspim.com/news/view/20231117000312,http://www.newspim.com/news/view/20231117000312,2023-11-17 10:29:00,"<b>에누마</b>코리아·YBM, AI디지털교과서 공동 개발 MOU 체결"
7,8,"보성고, ㈜유비온, <b>에누마</b>코리아, OHFA Tech 등 다양한 개발협력사업을 수행하는 산학연관민-국제기구 주체들이 교육개발협력 및 교육 ODA 관련 현안에 대해 논의하고, 더 나은 SDG4 거버넌스 확대를 위한 미래 정책과... ",https://www.getnews.co.kr/news/articleView.html?idxno=649411,https://www.getnews.co.kr/news/articleView.html?idxno=649411,2023-11-17 09:12:00,'제10회 교육 ODA 컨퍼런스' 부산서 열린다
8,9,"이외에도 월드비전, 밀알복지재단, 장애학생취업박람회, 모두를 위하나 기초학습(<b>에누마</b>코리아), 대한사회복지회 등이 참여한 SDGs를 주제로 하는 전시 및 체험 프로그램이 진행됐다. 안드레의바다는 SDGs 17개... ",http://www.globalepic.co.kr/view.php?ud=202311161701069796cf2d78c68_29,http://www.globalepic.co.kr/view.php?ud=202311161701069796cf2d78c68_29,2023-11-17 09:06:00,"안드레의바다, 한양대 사회혁신축제 ‘세븐틴 하츠 페스티벌’ 참가"
9,10,"보성고, ㈜유비온, <b>에누마</b>코리아, OHFA Tech 등 다양한 개발협력사업을 수행하는 산학연관민-국제기구 주체들이 교육개발협력 및 교육 ODA 관련 현안에 대해 논의하고, 더 나은 SDG4 거버넌스 확대를 위한 미래 정책과... ",http://news.heraldcorp.com/view.php?ud=20231116000810,http://news.heraldcorp.com/view.php?ud=20231116000810,2023-11-16 23:37:00,교육부 주최 ‘제10회 교육 ODA 컨퍼런스’ 부산서 열린다
