,cnt,description,link,org_link,pDate,title
0,1,게임보다는 <b>투자</b>자산으로서의 토큰에 좀 더 초점이 맞춰진 경우가 많았습니다. 이는 일본을 포함해 AAA급 게임 개발사들이 합류하면 자연스럽게 해소될 것으로 기대합니다. <b>해치랩스</b>가 초점을 맞추는 부분은 두번째... ,https://www.mk.co.kr/article/10877399,https://www.mk.co.kr/article/10877399,2023-11-17 11:34:00,"뜨는 일본 웹3, 러브콜 받는 한국 블록체인 기업 ‘<b>해치랩스</b>’[엠블록레터]"
1,2,"<b>해치랩스</b> 관계자는 “지갑 사업에 집중하기로 하면서 OTC를 멈췄다”고 설명했다. 주로 기관 고객을 상대하는 하이퍼리즘도 OTC를 접었다. 오상록 하이퍼리즘 대표는 “하이퍼리즘은 본래 <b>투자</b> 회사였고, 지금이... ",https://decenter.kr/NewsView/29W69TM5GV,https://decenter.kr/NewsView/29W69TM5GV,2023-10-31 16:20:00,"국내 주요 가상자산 기업, 장외거래(OTC) 중단···”법인 <b>투자</b> 활로 열어줘..."
2,3,"빗썸의 자회사인 로똔다와 그라운드X, <b>해치랩스</b> 등이 나란히 오아시스(Oasys)와 파트너십을 맺고 지갑 연동에... 없다”며 “세가나 반다이남코 등 일본 유력 게임사가 오아시스에 <b>투자</b>하고 헤쳐 모인 형태”라고 설명했다.",https://www.thebell.co.kr/free/content/ArticleView.asp?key=202310261054593280108956,https://www.thebell.co.kr/free/content/ArticleView.asp?key=202310261054593280108956,2023-10-30 12:42:00,"[더벨][한국 웹3, 일본 출사표]'오아시스' 찾은 K-블록체인 지갑, 日 P2E 독주..."
3,4,"등의 <b>투자</b>도 유치했다. T2WEB은 페이스월렛 적용으로 한국, 일본 등 아시아 시장에서 존재감을 높이는 계기가 될 것으로 봤다. 페이스월렛은 넥슨, 넷마블 등도 채용할 예정이다. <b>해치랩스</b>는 지난 9월 7일 오아시스와... ",https://www.theguru.co.kr/news/article.html?no=61838,https://www.theguru.co.kr/news/article.html?no=61838,2023-10-27 09:12:00,"<b>해치랩스</b>, 日 블록체인 시장 공략 강화…T2WEB과 파트너십"
4,5,"(가상자산) 산업이 코인 <b>투자</b>로만 인식되고 있는 상황에서 디지털 기술이라는 점을 행사에 참여하는... KODA는 가상자산 수탁 업체로 KB국민은행, <b>해치랩스</b>, 해시드 등 3개 기업이 만든 합작법인이다. 조 이사는... ",https://www.etoday.co.kr/news/view/2292706,https://www.etoday.co.kr/news/view/2292706,2023-10-17 05:02:00,[미리보는 2024 테크 퀘스트] “가상자산 투명성 검증…은행<b>투자</b> 줄잇는 커스...
5,6,등에 <b>투자</b>할 것으로 알려졌다. 리고 재단은 &quot;하반기에 예정돼 있는 메인넷 오픈을 앞두고 마지막 시스템 정비에 전력을 다하고 있다. <b>해치 랩스</b> 보안 검수를 통해 발견된 이슈를 전부 보완해 안정적인 버전의... ,https://www.datanet.co.kr/news/articleView.html?idxno=187212,https://www.datanet.co.kr/news/articleView.html?idxno=187212,2023-09-18 09:06:00,"리고재단, 리고 0.8 백서 공개…블록체인 프로젝트 본격화"
6,7,등에 <b>투자</b>한다는 계획이다. 리고 재단은 &quot;하반기에 예정돼 있는 메인넷 오픈을 앞두고 마지막 시스템 정비에 전력을 다하고 있다. <b>해치 랩스</b> 보안 검수를 통해 발견된 이슈를 전부 보완해 안정적인 버전의... ,http://www.itdaily.kr/news/articleView.html?idxno=216827,http://www.itdaily.kr/news/articleView.html?idxno=216827,2023-09-18 09:02:00,"리고 재단, 'RIGO 0.8' 백서 공개…블록체인 프로젝트 본격 추진"
7,8,등에 <b>투자</b>할 것으로 알려졌다. 리고 재단은 “하반기에 예정되어 있는 메인넷 오픈을 앞두고 마지막 시스템 정비에 전력을 다하고 있다. <b>해치 랩스</b> 보안 검수를 통해 발견된 이슈를 전부 보완해 안정적인... ,https://www.etnews.com/20230915000220,https://www.etnews.com/20230915000220,2023-09-18 09:01:00,"리고 재단, RIGO 0.8 백서 공개…블록체인 프로젝트 박차"
8,9,기업들의 가상자산 <b>투자</b> 수요를 확인한 <b>해치랩스</b>는 쉬운 UI·UX로 회사 경영관리를 하듯 가상자산을 관리할 수 있도록 헤네시스 월렛을 출시했다. 현재 약 20개 기업이 헤네시스 월렛을 통해 가상자산을 보관 중이다.... ,https://www.thebell.co.kr/free/content/ArticleView.asp?key=202309131007408880102725,https://www.thebell.co.kr/free/content/ArticleView.asp?key=202309131007408880102725,2023-09-15 11:28:00,"[더벨][블록체인 사업모델의 진화] <b>해치랩스</b>, 페이스월렛으로 국내외 블록체인..."
9,10,"마브렉스는 지난 1월 일본 블록체인 게임 커뮤니티 YGG 재팬에 <b>투자</b>한 데 이어 지난 7월 일본 금융청 산하... 오아시스는 국내 기업 중 카카오 블록체인 기술 계열사 그라운드엑스, 블록체인 기술 업체 <b>해치랩스</b>가 개발한... ",http://www.digitaltoday.co.kr/news/articleView.html?idxno=487910,http://www.digitaltoday.co.kr/news/articleView.html?idxno=487910,2023-09-13 08:36:00,"국내 가상자산 업체들, 일본 진출 속도 낸다"
10,11,이상의 <b>투자</b>금을 유치했다. 넥슨은 메이플스토리 유니버스에 폴리곤의 앱체인 솔루션인 '폴리곤 슈퍼넷'을 도입할 예정이다. 그런가 하면 지난 5월엔 암호화폐 지갑 '페이스월렛'을 만든 스타트업 <b>해치랩스</b>와 업무협약... ,https://www.hankyung.com/article/202309055912i,https://www.hankyung.com/article/202309055912i,2023-09-07 14:15:00,아시아 최대 블록체인 행사에 메이플 前 디렉터 등장한 이유 [긱스]
